model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
feedforward,1.0,8.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0001691224497335,0.0,0.0,0.0
feedforward,1.0,16.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0001731517499138,0.0,0.0,0.0
feedforward,1.0,32.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0001820431498344,0.0,0.0,0.0
feedforward,1.0,64.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0002144179503375,0.0,0.0,0.0
feedforward,1.0,256.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0005634777000523,0.0,0.0,0.0
feedforward,1.0,512.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0014971156502724,0.0,0.0,0.0
feedforward,1.0,1024.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0055778720001399,0.0,0.0,0.0
feedforward,1.0,2048.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0221539225000014,0.0,0.0,0.0
feedforward,1.0,3072.0,32.0,cpu,0.0,0.0,0.0,,relu,485.3671875,485.3671875,0.0470004201000847,0.0,0.0,0.0
feedforward,1.0,4096.0,32.0,cpu,0.0,0.0,0.0,,relu,572.375,572.375,0.0835518061503535,0.0,0.0,0.0
feedforward,1.0,1.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0001747981499647,0.0,0.0,0.0
feedforward,1.0,2.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0002272986501338,0.0,0.0,0.0
feedforward,1.0,4.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0002423095997073,0.0,0.0,0.0
feedforward,1.0,8.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0002536675005103,0.0,0.0,0.0
feedforward,1.0,16.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0002692513502552,0.0,0.0,0.0
feedforward,1.0,32.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0002990975001011,0.0,0.0,0.0
feedforward,1.0,64.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0003770037998037,0.0,0.0,0.0
feedforward,1.0,256.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0013949636493634,0.0,0.0,0.0
feedforward,1.0,512.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0035060164002061,0.0,0.0,0.0
feedforward,1.0,1024.0,64.0,cpu,0.0,0.0,0.0,,relu,360.48046875,360.48046875,0.0103636634994472,0.0,0.0,0.0
feedforward,1.0,2048.0,64.0,cpu,0.0,0.0,0.0,,relu,376.35546875,376.35546875,0.0414433157500752,0.0,0.0,0.0
feedforward,1.0,3072.0,64.0,cpu,0.0,0.0,0.0,,relu,412.359375,412.359375,0.0931356961002165,0.0,0.0,0.0
feedforward,1.0,4096.0,64.0,cpu,0.0,0.0,0.0,,relu,508.3828125,508.3828125,0.1661792241997318,0.0,0.0,0.0
feedforward,1.0,1.0,128.0,cpu,0.0,0.0,0.0,,relu,476.4921875,476.4921875,0.0001792098002624,0.0,0.0,0.0
feedforward,1.0,2.0,128.0,cpu,0.0,0.0,0.0,,relu,476.4921875,476.4921875,0.0001874063498689,0.0,0.0,0.0
feedforward,1.0,4.0,128.0,cpu,0.0,0.0,0.0,,relu,476.5,476.5,0.0001720680003927,0.0,0.0,0.0
feedforward,1.0,8.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.0002480235001712,0.0,0.0,0.0
feedforward,1.0,16.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.0002910041002905,0.0,0.0,0.0
feedforward,1.0,32.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.0003595556998334,0.0,0.0,0.0
feedforward,1.0,64.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.0005361206502129,0.0,0.0,0.0
feedforward,1.0,256.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.002468307899835,0.0,0.0,0.0
feedforward,1.0,512.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.0060821324994321,0.0,0.0,0.0
feedforward,1.0,1024.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.0195601078499748,0.0,0.0,0.0
feedforward,1.0,2048.0,128.0,cpu,0.0,0.0,0.0,,relu,376.49609375,376.49609375,0.082463332000043,0.0,0.0,0.0
feedforward,1.0,3072.0,128.0,cpu,0.0,0.0,0.0,,relu,421.38671875,421.38671875,0.1857476261997362,0.0,0.0,0.0
feedforward,1.0,4096.0,128.0,cpu,0.0,0.0,0.0,,relu,498.709375,508.39453125,0.3325428641997859,0.0,0.0,0.0
rnn,1.0,1.0,1.0,cpu,False,False,False,0.0,relu,314.9453125,314.9453125,0.0001598859998921,5.0,4.0,0.0
rnn,1.0,2.0,1.0,cpu,False,False,False,0.0,relu,318.07421875,318.07421875,0.0001522042497526,14.0,12.0,0.0
rnn,1.0,4.0,1.0,cpu,False,False,False,0.0,relu,318.10546875,318.10546875,0.0001740520499879,44.0,40.0,0.0
rnn,1.0,8.0,1.0,cpu,False,False,False,0.0,relu,318.109375,318.109375,0.0001573889501742,152.0,144.0,0.0
rnn,1.0,16.0,1.0,cpu,False,False,False,0.0,relu,318.29296875,318.29296875,0.0001522741004009,560.0,544.0,0.0
rnn,1.0,32.0,1.0,cpu,False,False,False,0.0,relu,318.3125,318.3125,0.0001327741003478,2144.0,2112.0,0.0
rnn,1.0,64.0,1.0,cpu,False,False,False,0.0,relu,318.34765625,318.34765625,0.0001337887500994,8384.0,8320.0,0.0
rnn,1.0,256.0,1.0,cpu,False,False,False,0.0,relu,319.43359375,319.43359375,0.0001656771499256,131840.0,131584.0,0.0
rnn,1.0,512.0,1.0,cpu,False,False,False,0.0,relu,323.328125,323.328125,0.0003447570496064,525824.0,525312.0,0.0
rnn,1.0,1024.0,1.0,cpu,False,False,False,0.0,relu,331.43359375,331.43359375,0.0019025131499802,2100224.0,2099200.0,0.0
rnn,1.0,2048.0,1.0,cpu,False,False,False,0.0,relu,363.38671875,363.38671875,0.005036076450051,8394752.0,8392704.0,0.0
rnn,1.0,3072.0,1.0,cpu,False,False,False,0.0,relu,435.375,435.375,0.0104236793995369,18883584.0,18880512.0,0.0
rnn,1.0,4096.0,1.0,cpu,False,False,False,0.0,relu,563.0703125,563.0703125,0.017964307499642,33566720.0,33562624.0,0.0
rnn,1.0,1.0,2.0,cpu,False,False,False,0.0,relu,563.07421875,563.07421875,0.0001585643498401,10.0,4.0,0.0
rnn,1.0,2.0,2.0,cpu,False,False,False,0.0,relu,563.5859375,563.5859375,0.0001819591001549,28.0,12.0,0.0
rnn,1.0,4.0,2.0,cpu,False,False,False,0.0,relu,563.59375,563.59375,0.0002103094004269,88.0,40.0,0.0
rnn,1.0,8.0,2.0,cpu,False,False,False,0.0,relu,563.6015625,563.6015625,0.0002118864998919,304.0,144.0,0.0
rnn,1.0,16.0,2.0,cpu,False,False,False,0.0,relu,323.57421875,323.57421875,0.0002105662497342,1120.0,544.0,0.0
rnn,1.0,32.0,2.0,cpu,False,False,False,0.0,relu,323.57421875,323.57421875,0.0002250689503853,4288.0,2112.0,0.0
rnn,1.0,64.0,2.0,cpu,False,False,False,0.0,relu,323.57421875,323.57421875,0.0002258647000417,16768.0,8320.0,0.0
rnn,1.0,256.0,2.0,cpu,False,False,False,0.0,relu,324.2109375,324.2109375,0.0003544190498359,263680.0,131584.0,0.0
rnn,1.0,512.0,2.0,cpu,False,False,False,0.0,relu,324.453125,324.453125,0.0010473870002897,1051648.0,525312.0,0.0
