accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,seq_len,total_params,trainable_params,use_torchscript
1.0,relu,2246.38671875,1.0,cuda,,64.0,0.0005093159503303468,65536.0,2246.38671875,feedforward,0.0,16.0,4160.0,0.0,0.0
1.0,relu,2246.38671875,1.0,cuda,,256.0,0.0003866426006425172,1048576.0,2246.38671875,feedforward,0.0,16.0,65792.0,0.0,0.0
1.0,relu,2246.38671875,1.0,cuda,,512.0,0.0006666147004580125,4194304.0,2246.38671875,feedforward,0.0,16.0,262656.0,0.0,0.0
1.0,relu,2246.390625,1.0,cuda,,1024.0,0.002257964399177581,16777216.0,2246.390625,feedforward,0.0,16.0,1049600.0,0.0,0.0
1.0,relu,2246.390625,1.0,cuda,,2048.0,0.004008847198565491,67108864.0,2246.390625,feedforward,0.0,16.0,4196352.0,0.0,0.0
1.0,relu,2246.39453125,1.0,cuda,,3072.0,0.004615010699490085,150994944.0,2246.39453125,feedforward,0.0,16.0,9440256.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,4096.0,0.006406417401740328,268435456.0,2240.40234375,feedforward,0.0,16.0,16781312.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,1.0,0.00038387695094570516,32.0,2240.40234375,feedforward,0.0,32.0,2.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,2.0,0.00038530409801751375,128.0,2240.40234375,feedforward,0.0,32.0,6.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,4.0,0.0003797909477725625,512.0,2240.40234375,feedforward,0.0,32.0,20.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,8.0,0.0003895462985383347,2048.0,2240.40234375,feedforward,0.0,32.0,72.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,16.0,0.0005101571005070582,8192.0,2240.40234375,feedforward,0.0,32.0,272.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,32.0,0.0005084852484287695,32768.0,2240.40234375,feedforward,0.0,32.0,1056.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,64.0,0.0003843795508146286,131072.0,2240.40234375,feedforward,0.0,32.0,4160.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,256.0,0.0003911712992703542,2097152.0,2240.40234375,feedforward,0.0,32.0,65792.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,512.0,0.0007087037491146475,8388608.0,2240.40234375,feedforward,0.0,32.0,262656.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,1024.0,0.0018790145521052181,33554432.0,2240.40234375,feedforward,0.0,32.0,1049600.0,0.0,0.0
1.0,relu,2240.40234375,1.0,cuda,,2048.0,0.0032977606519125403,134217728.0,2240.40234375,feedforward,0.0,32.0,4196352.0,0.0,0.0
1.0,relu,2240.40625,1.0,cuda,,3072.0,0.004452185850823298,301989888.0,2240.40625,feedforward,0.0,32.0,9440256.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,4096.0,0.006851539950002916,536870912.0,2235.96875,feedforward,0.0,32.0,16781312.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,1.0,0.00037270495085977017,64.0,2235.96875,feedforward,0.0,64.0,2.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,2.0,0.0003814341995166615,256.0,2235.96875,feedforward,0.0,64.0,6.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,4.0,0.0005171025521121919,1024.0,2235.96875,feedforward,0.0,64.0,20.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,8.0,0.00038368944951798766,4096.0,2235.96875,feedforward,0.0,64.0,72.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,16.0,0.0005159358493983746,16384.0,2235.96875,feedforward,0.0,64.0,272.0,0.0,0.0
1.0,relu,2235.96875,1.0,cuda,,32.0,0.0003852936497423798,65536.0,2235.96875,feedforward,0.0,64.0,1056.0,0.0,0.0
1.0,relu,2236.03125,1.0,cuda,,64.0,0.0003915462992154062,262144.0,2236.03125,feedforward,0.0,64.0,4160.0,0.0,0.0
1.0,relu,2236.03125,1.0,cuda,,256.0,0.0003916349000064656,4194304.0,2236.03125,feedforward,0.0,64.0,65792.0,0.0,0.0
1.0,relu,2236.03125,1.0,cuda,,512.0,0.0009257974510546773,16777216.0,2236.03125,feedforward,0.0,64.0,262656.0,0.0,0.0
1.0,relu,2236.03125,1.0,cuda,,1024.0,0.002338014799170196,67108864.0,2236.03125,feedforward,0.0,64.0,1049600.0,0.0,0.0
1.0,relu,2236.03515625,1.0,cuda,,2048.0,0.005337381301796995,268435456.0,2236.03515625,feedforward,0.0,64.0,4196352.0,0.0,0.0
1.0,relu,2236.04296875,1.0,cuda,,3072.0,0.008222459949320183,603979776.0,2236.04296875,feedforward,0.0,64.0,9440256.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,4096.0,0.013748455498716793,1073741824.0,2236.05078125,feedforward,0.0,64.0,16781312.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,1.0,0.0003819837002083659,128.0,2236.05078125,feedforward,0.0,128.0,2.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,2.0,0.00037893940170761196,512.0,2236.05078125,feedforward,0.0,128.0,6.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,4.0,0.00047602909908164295,2048.0,2236.05078125,feedforward,0.0,128.0,20.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,8.0,0.00037899409944657235,8192.0,2236.05078125,feedforward,0.0,128.0,72.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,16.0,0.00041827840032055975,32768.0,2236.05078125,feedforward,0.0,128.0,272.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,32.0,0.00037399145076051355,131072.0,2236.05078125,feedforward,0.0,128.0,1056.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,64.0,0.00042261699854861945,524288.0,2236.05078125,feedforward,0.0,128.0,4160.0,0.0,0.0
1.0,relu,2236.05078125,1.0,cuda,,256.0,0.0005914914479944855,8388608.0,2236.05078125,feedforward,0.0,128.0,65792.0,0.0,0.0
1.0,relu,2235.92578125,1.0,cuda,,512.0,0.0017229945020517333,33554432.0,2235.92578125,feedforward,0.0,128.0,262656.0,0.0,0.0
1.0,relu,2235.92578125,1.0,cuda,,1024.0,0.0039879017014754934,134217728.0,2235.92578125,feedforward,0.0,128.0,1049600.0,0.0,0.0
1.0,relu,2235.92578125,1.0,cuda,,2048.0,0.005668653451721184,536870912.0,2235.92578125,feedforward,0.0,128.0,4196352.0,0.0,0.0
1.0,relu,2235.9296875,1.0,cuda,,3072.0,0.011768309501348995,1207959552.0,2235.9296875,feedforward,0.0,128.0,9440256.0,0.0,0.0
1.0,relu,2235.9375,1.0,cuda,,4096.0,0.02079097175155766,2147483648.0,2235.9375,feedforward,0.0,128.0,16781312.0,0.0,0.0
