model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,4015.5833333333335,4015.609375,0.0612209097482264,537264128.0,8392704.0,0.0,False,64.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,4067.51123046875,4067.66015625,0.1180604735855013,1074528256.0,8392704.0,0.0,False,128.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,4138.04140625,4138.0859375,0.0066776163410395,18883584.0,18880512.0,0.0,False,1.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,3883.0078125,3883.0078125,0.011399191385135,37767168.0,18880512.0,0.0,False,2.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,3917.821428571429,3917.88671875,0.0201252526603639,75534336.0,18880512.0,0.0,False,4.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,3990.40673828125,3990.4609375,0.0328420391771942,151068672.0,18880512.0,0.0,False,8.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,4062.968191964286,4063.04296875,0.0581082891672849,302137344.0,18880512.0,0.0,False,16.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,4135.035481770833,4135.05078125,0.099838470108807,604274688.0,18880512.0,0.0,False,32.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,4208.059244791667,4208.6015625,0.1847317540086805,1208549376.0,18880512.0,0.0,False,64.0
rnn,1.0,3072.0,cpu,False,False,False,0.0,relu,4286.8310546875,4287.03515625,0.3609201711602509,2417098752.0,18880512.0,0.0,False,128.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4414.024739583333,4414.08984375,0.01172292875126,33566720.0,33562624.0,0.0,False,1.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4541.871744791667,4542.14453125,0.0202864975202828,67133440.0,33562624.0,0.0,False,2.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4669.00625,4669.05078125,0.0325831210240721,134266880.0,33562624.0,0.0,False,4.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4797.9638671875,4798.0,0.0612073610536754,268533760.0,33562624.0,0.0,False,8.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4926.9015625,4927.0546875,0.1020288580097258,537067520.0,33562624.0,0.0,False,16.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,3890.920200892857,3891.015625,0.189436409343034,1074135040.0,33562624.0,0.0,False,32.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4018.9453125,4019.0234375,0.3570880781859159,2148270080.0,33562624.0,0.0,False,64.0
rnn,1.0,4096.0,cpu,False,False,False,0.0,relu,4147.78203125,4149.8203125,0.7119695615954698,4296540160.0,33562624.0,0.0,False,128.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,1114.859375,1114.859375,5.599302239716053e-05,24.0,16.0,0.0,False,1.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.01171875,3616.01171875,9.019989520311356e-05,48.0,16.0,0.0,False,2.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.01953125,3616.01953125,0.0001849759370088,96.0,16.0,0.0,False,4.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.01953125,3616.01953125,0.0002850484102964,192.0,16.0,0.0,False,8.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.078125,3616.078125,0.0002648273017257,384.0,16.0,0.0,False,16.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.078125,3616.078125,0.0008764016907662,768.0,16.0,0.0,False,32.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.078125,3616.078125,0.0014577875845134,1536.0,16.0,0.0,False,64.0
lstm,1.0,1.0,cpu,False,False,False,0.0,relu,3616.30859375,3616.30859375,0.0026022434234619,3072.0,16.0,0.0,False,128.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.30859375,3616.30859375,8.828430436551571e-05,64.0,48.0,0.0,False,1.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.546875,3616.546875,0.0001256720162928,128.0,48.0,0.0,False,2.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.546875,3616.546875,0.00027955211699,256.0,48.0,0.0,False,4.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.78515625,3616.78515625,0.0002514589577913,512.0,48.0,0.0,False,8.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.78515625,3616.78515625,0.000438427273184,1024.0,48.0,0.0,False,16.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.78515625,3616.78515625,0.0008463143836706,2048.0,48.0,0.0,False,32.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.78515625,3616.78515625,0.0015658496413379,4096.0,48.0,0.0,False,64.0
lstm,1.0,2.0,cpu,False,False,False,0.0,relu,3616.78515625,3616.78515625,0.0029295188374817,8192.0,48.0,0.0,False,128.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3616.78515625,3616.78515625,6.544231437146663e-05,192.0,160.0,0.0,False,1.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.02734375,3617.02734375,0.0001510687638074,384.0,160.0,0.0,False,2.0
