model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38217187328.0,38217187328.0,0.000166125036776,1054720.0,131584.0,0.0,False,8.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38217187328.0,38217187328.0,0.0003060395829379,2109440.0,131584.0,0.0,False,16.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38217187328.0,38217187328.0,0.0005391602404415,4218880.0,131584.0,0.0,False,32.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38217187328.0,38217187328.0,0.001676635351032,8437760.0,131584.0,0.0,False,64.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38219284480.0,38219284480.0,0.0034350524656474,16875520.0,131584.0,0.0,False,128.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,38240256000.0,38240256000.0,0.0001350134611129,525824.0,525312.0,0.0,False,1.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,38240256000.0,38240256000.0,0.0001460407860577,1051648.0,525312.0,0.0,False,2.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,38240256000.0,38240256000.0,0.0001811177935451,2103296.0,525312.0,0.0,False,4.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,38240256000.0,38240256000.0,0.0004589598625898,4206592.0,525312.0,0.0,False,8.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,38240256000.0,38240256000.0,0.0007284350227564,8413184.0,525312.0,0.0,False,16.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,36887592960.0,36887592960.0,0.0009425594471395,16826368.0,525312.0,0.0,False,32.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,36887592960.0,36887592960.0,0.0016188070643693,33652736.0,525312.0,0.0,False,64.0
rnn,1.0,512.0,cuda,True,False,False,0.0,relu,36887592960.0,36887592960.0,0.0029204625636339,67305472.0,525312.0,0.0,False,128.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,36906467328.0,36906467328.0,0.0001486910972744,2100224.0,2099200.0,0.0,False,1.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,36904370176.0,36904370176.0,0.0002028187736868,4200448.0,2099200.0,0.0,False,2.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,36925341696.0,36925341696.0,0.0003471857868134,8400896.0,2099200.0,0.0,False,4.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,38177341440.0,38177341440.0,0.0004998012445867,16801792.0,2099200.0,0.0,False,8.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,38198312960.0,38198312960.0,0.0007092000450938,33603584.0,2099200.0,0.0,False,16.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,38198312960.0,38198312960.0,0.0010603073053061,67207168.0,2099200.0,0.0,False,32.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,38219284480.0,38219284480.0,0.0019736923743039,134414336.0,2099200.0,0.0,False,64.0
rnn,1.0,1024.0,cuda,True,False,False,0.0,relu,38219284480.0,38219284480.0,0.0037060860078781,268828672.0,2099200.0,0.0,False,128.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38324142080.0,38324142080.0,0.0001190098002552,8394752.0,8392704.0,0.0,False,1.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38359793664.0,38359793664.0,0.0001435201149433,16789504.0,8392704.0,0.0,False,2.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38395445248.0,38395445248.0,0.0003356078173965,33579008.0,8392704.0,0.0,False,4.0
