avg_memory,img_size,in_channel,input_size,kernel_size,latency,macs,max_memory,out_channel,stride,total_params,trainable_params
387.67578125,224,32,"torch.Size([1, 32, 224, 224])",3,0.0454997606495454,1823113728,398.5546875,128,1,36992,0
320.28125,7,32,"torch.Size([1, 32, 7, 7])",3,4.9037149437936E-05,332928,320.28125,128,2,36992,0
320.359375,14,32,"torch.Size([1, 32, 14, 14])",3,8.47739494929556E-05,1331712,320.359375,128,2,36992,0
320.3828125,28,32,"torch.Size([1, 32, 28, 28])",3,0.000288256150088273,6251648,320.3828125,128,2,36992,0
320.3984375,56,32,"torch.Size([1, 32, 56, 56])",3,0.000660955849889433,26967168,320.3984375,128,2,36992,0
320.421875,112,32,"torch.Size([1, 32, 112, 112])",3,0.00250274934951449,111900800,320.421875,128,2,36992,0
343.205729166667,224,32,"torch.Size([1, 32, 224, 224])",3,0.0107976177998353,455778432,344.59765625,128,2,36992,0
344.66015625,7,32,"torch.Size([1, 32, 7, 7])",3,3.2309800008079E-05,36992,344.66015625,128,5,36992,0
344.66015625,14,32,"torch.Size([1, 32, 14, 14])",3,5.36712999746669E-05,332928,344.66015625,128,5,36992,0
344.66796875,28,32,"torch.Size([1, 32, 28, 28])",3,0.000148925049870741,1331712,344.66796875,128,5,36992,0
344.69140625,56,32,"torch.Size([1, 32, 56, 56])",3,0.000259535599616356,4476032,344.69140625,128,5,36992,0
344.71484375,112,32,"torch.Size([1, 32, 112, 112])",3,0.000666922399977921,17904128,344.71484375,128,5,36992,0
344.72265625,224,32,"torch.Size([1, 32, 224, 224])",3,0.00276250809984049,74908800,344.72265625,128,5,36992,0
344.72265625,7,32,"torch.Size([1, 32, 7, 7])",1,4.55000001238659E-05,413952,344.72265625,256,1,8448,0
344.828125,14,32,"torch.Size([1, 32, 14, 14])",1,9.21854501939379E-05,1655808,344.828125,256,1,8448,0
344.84375,28,32,"torch.Size([1, 32, 28, 28])",1,0.000249535449984251,6623232,344.84375,256,1,8448,0
344.85546875,56,32,"torch.Size([1, 32, 56, 56])",1,0.000739010349934688,26492928,344.85546875,256,1,8448,0
375.660714285714,112,32,"torch.Size([1, 32, 112, 112])",1,0.00367846770022879,105971712,375.7109375,256,1,8448,0
423.91796875,224,32,"torch.Size([1, 32, 224, 224])",1,0.0338769133995811,423886848,485,256,1,8448,0
351.11328125,7,32,"torch.Size([1, 32, 7, 7])",1,3.63945502613205E-05,135168,351.11328125,256,2,8448,0
351.22265625,14,32,"torch.Size([1, 32, 14, 14])",1,5.57813495106529E-05,413952,351.22265625,256,2,8448,0
351.2578125,28,32,"torch.Size([1, 32, 28, 28])",1,0.000156991249968996,1655808,351.2578125,256,2,8448,0
351.28515625,56,32,"torch.Size([1, 32, 56, 56])",1,0.000343230149883311,6623232,351.28515625,256,2,8448,0
351.3125,112,32,"torch.Size([1, 32, 112, 112])",1,0.00117612780013587,26492928,351.3125,256,2,8448,0
377.461292613636,224,32,"torch.Size([1, 32, 224, 224])",1,0.00517469625046942,105971712,387.8671875,256,2,8448,0
338.9921875,7,32,"torch.Size([1, 32, 7, 7])",1,2.88446499325801E-05,33792,338.9921875,256,5,8448,0
339.173177083333,14,32,"torch.Size([1, 32, 14, 14])",1,2.98560502415057E-05,76032,339.21484375,256,5,8448,0
339.23046875,28,32,"torch.Size([1, 32, 28, 28])",1,8.6531800479861E-05,304128,339.23046875,256,5,8448,0
339.24609375,56,32,"torch.Size([1, 32, 56, 56])",1,0.000146002649853472,1216512,339.24609375,256,5,8448,0
339.26171875,112,32,"torch.Size([1, 32, 112, 112])",1,0.0003329372004373,4468992,339.26171875,256,5,8448,0
339.27734375,224,32,"torch.Size([1, 32, 224, 224])",1,0.00150207670012605,17107200,339.27734375,256,5,8448,0
339.27734375,7,32,"torch.Size([1, 32, 7, 7])",3,0.000121970100008184,1849600,339.27734375,256,1,73984,0
339.3828125,14,32,"torch.Size([1, 32, 14, 14])",3,0.000354465000418713,10653696,339.3828125,256,1,73984,0
339.4140625,28,32,"torch.Size([1, 32, 28, 28])",3,0.00138513700003386,50013184,339.4140625,256,1,73984,0
339.4296875,56,32,"torch.Size([1, 32, 56, 56])",3,0.00458044035040075,215737344,339.4296875,256,1,73984,0
364.402064732143,112,32,"torch.Size([1, 32, 112, 112])",3,0.019018872849847,895206400,374.46875,256,1,73984,0
440.137369791667,224,32,"torch.Size([1, 32, 224, 224])",3,0.11411614134995,3646227456,481.6796875,256,1,73984,0
374.692708333333,7,32,"torch.Size([1, 32, 7, 7])",3,6.74331502523273E-05,665856,374.7421875,256,2,73984,0
374.79296875,14,32,"torch.Size([1, 32, 14, 14])",3,0.000164907200087327,2663424,374.79296875,256,2,73984,0
374.81640625,28,32,"torch.Size([1, 32, 28, 28])",3,0.000492801800282905,12503296,374.81640625,256,2,73984,0
374.83203125,56,32,"torch.Size([1, 32, 56, 56])",3,0.00146990729990648,53934336,374.83203125,256,2,73984,0
374.85546875,112,32,"torch.Size([1, 32, 112, 112])",3,0.00553498709996347,223801600,374.85546875,256,2,73984,0
374.87109375,224,32,"torch.Size([1, 32, 224, 224])",3,0.0209706620495126,911556864,374.87109375,256,2,73984,0
374.87109375,7,32,"torch.Size([1, 32, 7, 7])",3,4.94995998451486E-05,73984,374.87109375,256,5,73984,0
374.87109375,14,32,"torch.Size([1, 32, 14, 14])",3,8.57257502502762E-05,665856,374.87109375,256,5,73984,0
374.87890625,28,32,"torch.Size([1, 32, 28, 28])",3,0.000226205449871486,2663424,374.87890625,256,5,73984,0
374.90234375,56,32,"torch.Size([1, 32, 56, 56])",3,0.000362085300002946,8952064,374.90234375,256,5,73984,0
374.92578125,112,32,"torch.Size([1, 32, 112, 112])",3,0.00104395720045432,35808256,374.92578125,256,5,73984,0
374.93359375,224,32,"torch.Size([1, 32, 224, 224])",3,0.0041967643002863,149817600,374.93359375,256,5,73984,0
374.93359375,7,32,"torch.Size([1, 32, 7, 7])",1,6.59163000818808E-05,827904,374.93359375,512,1,16896,0
374.93359375,14,32,"torch.Size([1, 32, 14, 14])",1,0.0001243106496986,3311616,374.93359375,512,1,16896,0
374.94921875,28,32,"torch.Size([1, 32, 28, 28])",1,0.000347471750137629,13246464,374.94921875,512,1,16896,0
374.9609375,56,32,"torch.Size([1, 32, 56, 56])",1,0.00139030259961146,52985856,374.9609375,512,1,16896,0
437.46875,112,32,"torch.Size([1, 32, 112, 112])",1,0.00678718150011264,211943424,437.5234375,512,1,16896,0
489.256138392857,224,32,"torch.Size([1, 32, 224, 224])",1,0.0664212139505253,847773696,613.6015625,512,1,16896,0
339.63671875,7,32,"torch.Size([1, 32, 7, 7])",1,4.21443000959698E-05,270336,339.63671875,512,2,16896,0
339.647135416667,14,32,"torch.Size([1, 32, 14, 14])",1,6.46371001494117E-05,827904,339.66015625,512,2,16896,0
339.6953125,28,32,"torch.Size([1, 32, 28, 28])",1,0.000206452400016133,3311616,339.6953125,512,2,16896,0
339.72265625,56,32,"torch.Size([1, 32, 56, 56])",1,0.000512369249918265,13246464,339.72265625,512,2,16896,0
345.65380859375,112,32,"torch.Size([1, 32, 112, 112])",1,0.0021475797999301,52985856,345.75,512,2,16896,0
443.744290865385,224,32,"torch.Size([1, 32, 224, 224])",1,0.0162575192000077,211943424,443.77734375,512,2,16896,0
351.9140625,7,32,"torch.Size([1, 32, 7, 7])",1,4.75385495519731E-05,67584,351.9140625,512,5,16896,0
352.02734375,14,32,"torch.Size([1, 32, 14, 14])",1,5.15594496391714E-05,152064,352.02734375,512,5,16896,0
352.04296875,28,32,"torch.Size([1, 32, 28, 28])",1,0.000160725499881664,608256,352.04296875,512,5,16896,0
352.05859375,56,32,"torch.Size([1, 32, 56, 56])",1,0.000268665699695703,2433024,352.05859375,512,5,16896,0
352.07421875,112,32,"torch.Size([1, 32, 112, 112])",1,0.000609836600051494,8937984,352.07421875,512,5,16896,0
352.08984375,224,32,"torch.Size([1, 32, 224, 224])",1,0.00209394074990996,34214400,352.08984375,512,5,16896,0
352.08984375,7,32,"torch.Size([1, 32, 7, 7])",3,0.000205756699870108,3699200,352.08984375,512,1,147968,0
352.37109375,14,32,"torch.Size([1, 32, 14, 14])",3,0.000608992899651639,21307392,352.37109375,512,1,147968,0
352.40234375,28,32,"torch.Size([1, 32, 28, 28])",3,0.00261345114995493,100026368,352.40234375,512,1,147968,0
352.41796875,56,32,"torch.Size([1, 32, 56, 56])",3,0.00977930919980281,431474688,352.41796875,512,1,147968,0
409.9078125,112,32,"torch.Size([1, 32, 112, 112])",3,0.0397049445506127,1790412800,440.375,512,1,147968,0
541.08359375,224,32,"torch.Size([1, 32, 224, 224])",3,0.22913288109994,7292454912,629.7578125,512,1,147968,0
393.47265625,7,32,"torch.Size([1, 32, 7, 7])",3,0.000102093350142241,1331712,393.47265625,512,2,147968,0
393.47265625,14,32,"torch.Size([1, 32, 14, 14])",3,0.000269795799977146,5326848,393.47265625,512,2,147968,0
393.49609375,28,32,"torch.Size([1, 32, 28, 28])",3,0.000890187399636488,25006592,393.49609375,512,2,147968,0
393.51171875,56,32,"torch.Size([1, 32, 56, 56])",3,0.00252935660028015,107868672,393.51171875,512,2,147968,0
393.53515625,112,32,"torch.Size([1, 32, 112, 112])",3,0.0112902506996761,447603200,393.53515625,512,2,147968,0
409.8125,224,32,"torch.Size([1, 32, 224, 224])",3,0.0424897601500561,1823113728,442.046875,512,2,147968,0
394.196614583333,7,32,"torch.Size([1, 32, 7, 7])",3,7.55403496441431E-05,147968,394.25,512,5,147968,0
394.4140625,14,32,"torch.Size([1, 32, 14, 14])",3,0.000132294400100363,1331712,394.4140625,512,5,147968,0
394.421875,28,32,"torch.Size([1, 32, 28, 28])",3,0.000267749550403096,5326848,394.421875,512,5,147968,0
394.4453125,56,32,"torch.Size([1, 32, 56, 56])",3,0.000611654899694258,17904128,394.4453125,512,5,147968,0
394.46875,112,32,"torch.Size([1, 32, 112, 112])",3,0.001866853699903,71616512,394.46875,512,5,147968,0
394.4765625,224,32,"torch.Size([1, 32, 224, 224])",3,0.00770926300028805,299635200,394.4765625,512,5,147968,0
394.4765625,7,32,"torch.Size([1, 32, 7, 7])",1,9.06838002265431E-05,1655808,394.4765625,1024,1,33792,0
394.4765625,14,32,"torch.Size([1, 32, 14, 14])",1,0.000271356449957238,6623232,394.4765625,1024,1,33792,0
394.4921875,28,32,"torch.Size([1, 32, 28, 28])",1,0.000765835900529055,26492928,394.4921875,1024,1,33792,0
394.649553571429,56,32,"torch.Size([1, 32, 56, 56])",1,0.00342371334991185,105971712,395.1796875,1024,1,33792,0
446.50234375,112,32,"torch.Size([1, 32, 112, 112])",1,0.0330362425498606,423886848,511.015625,1024,1,33792,0
714.315234375,224,32,"torch.Size([1, 32, 224, 224])",1,0.12616273120002,1695547392,947.29296875,1024,1,33792,0
370.799479166667,7,32,"torch.Size([1, 32, 7, 7])",1,5.08535500557627E-05,540672,370.8984375,1024,2,33792,0
370.8984375,14,32,"torch.Size([1, 32, 14, 14])",1,0.000119877499673748,1655808,370.8984375,1024,2,33792,0
370.93359375,28,32,"torch.Size([1, 32, 28, 28])",1,0.00027972835014225,6623232,370.93359375,1024,2,33792,0
370.96484375,56,32,"torch.Size([1, 32, 56, 56])",1,0.000871998949878616,26492928,370.96484375,1024,2,33792,0
395.448918269231,112,32,"torch.Size([1, 32, 112, 112])",1,0.00443920540055842,105971712,395.4921875,1024,2,33792,0
452.72109375,224,32,"torch.Size([1, 32, 224, 224])",1,0.0584159953003109,423886848,490.18359375,1024,2,33792,0
383.2578125,7,32,"torch.Size([1, 32, 7, 7])",1,4.8122549924301E-05,135168,383.2578125,1024,5,33792,0
383.2578125,14,32,"torch.Size([1, 32, 14, 14])",1,6.57795004372019E-05,304128,383.2578125,1024,5,33792,0
383.28515625,28,32,"torch.Size([1, 32, 28, 28])",1,0.00022535774987773,1216512,383.28515625,1024,5,33792,0
383.30078125,56,32,"torch.Size([1, 32, 56, 56])",1,0.000450425400049426,4866048,383.30078125,1024,5,33792,0
383.31640625,112,32,"torch.Size([1, 32, 112, 112])",1,0.000970017800136702,17875968,383.31640625,1024,5,33792,0
383.33203125,224,32,"torch.Size([1, 32, 224, 224])",1,0.00364578810040257,68428800,383.33203125,1024,5,33792,0
383.33203125,7,32,"torch.Size([1, 32, 7, 7])",3,0.000358907000190811,7398400,383.33203125,1024,1,295936,0
383.82421875,14,32,"torch.Size([1, 32, 14, 14])",3,0.00115469105003285,42614784,383.82421875,1024,1,295936,0
