macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,latency,avg_memory,max_memory,batch_size,input_size,model_config,device_config,model,platform,device,device_idx,num_threads,iters,use_cuda,use_channels_last,use_fp16,use_jit,use_tensorrt,use_ipex,use_dquant,results_dir,exp_name,act_fn,dropout,randomized_text,requires_grad,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
58369081344.0,58033963008.0,,,16384000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,6.16908073425293e-07,14290780160.0,14290780160.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,,,,,
116738162688.0,116067926016.0,,,32768000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,5.081295967102051e-07,14701821952.0,14701821952.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,635830272.0,1.0,1638400.0,,,9.0,0.0,1.0,0.0,,,,,,
233476325376.0,232135852032.0,,,65536000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,5.21540641784668e-07,15987376128.0,15987376128.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,1271660544.0,1.0,3276800.0,,,9.0,0.0,1.0,0.0,,,,,,
714206912.0,655566528.0,0.0,,58621952.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,6.50063157081604e-07,13946847232.0,13946847232.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,18432.0,,,7.0,0.0,3.0,0.0,,,,,,
1428413824.0,1311133056.0,0.0,,117243904.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,7.871538400650025e-07,14181728256.0,14181728256.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,36864.0,,,7.0,0.0,3.0,0.0,,,,,,
2856827648.0,2622266112.0,0.0,,234487808.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,8.158385753631592e-07,14183825408.0,14183825408.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,73728.0,,,7.0,0.0,3.0,0.0,,,,,,
5713655296.0,5244532224.0,0.0,,468975616.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,6.046146154403687e-07,14204796928.0,14204796928.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,147456.0,,,7.0,0.0,3.0,0.0,,,,,,
11427310592.0,10489064448.0,0.0,,937951232.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,5.114823579788208e-07,14204796928.0,14204796928.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,294912.0,,,7.0,0.0,3.0,0.0,,,,,,
22854621184.0,20978128896.0,0.0,,1875902464.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,5.193054676055908e-07,14372569088.0,14372569088.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,589824.0,,,7.0,0.0,3.0,0.0,,,,,,
45709242368.0,41956257792.0,0.0,,3751804928.0,21.0,5.0,2.0,,3.0,61100840.0,61100840.0,6.251037120819092e-07,14372569088.0,14372569088.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,alexnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,1179648.0,,,7.0,0.0,3.0,0.0,,,,,,
