latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0050593543797731,1457258496.0,1457258496.0,4289543936.0,4009501440.0,279530496.0,,,512000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,8.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0067893903702497,1643905024.0,1643905024.0,8579087872.0,8019002880.0,559060992.0,,,1024000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,16.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0117605496197938,2006712320.0,2006712320.0,17158175744.0,16038005760.0,1118121984.0,,,2048000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,32.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0241489626467227,2726035456.0,2726035456.0,34316351488.0,32076011520.0,2236243968.0,,,4096000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,64.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0489296663552522,4164681728.0,4164681728.0,68632702976.0,64152023040.0,4472487936.0,,,8192000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,128.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0042193826287984,1375469568.0,1375469568.0,3002076544.0,3001948544.0,,0.0,,128000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,1.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0044399380683898,1448869888.0,1448869888.0,6004153088.0,6003897088.0,,0.0,,256000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,2.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0046050075441598,1471938560.0,1471938560.0,12008306176.0,12007794176.0,,0.0,,512000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,4.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0047559671103954,1486618624.0,1486618624.0,24016612352.0,24015588352.0,,0.0,,1024000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,8.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0060001470148563,1715208192.0,1715208192.0,48033224704.0,48031176704.0,,0.0,,2048000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,16.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0122391976416111,2054946816.0,2054946816.0,96066449408.0,96062353408.0,,0.0,,4096000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,32.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0258290093392133,2623275008.0,2623275008.0,192132898816.0,192124706816.0,,0.0,,8192000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,64.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0511945556849241,3757834240.0,3757834240.0,384265797632.0,384249413632.0,,0.0,,16384000.0,,87.0,45.0,,41.0,,1.0,,21142920.0,0.0,gernet,128.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0019046001136302,1352400896.0,1352400896.0,1824033792.0,1813561344.0,9934848.0,0.0,0.0,25600.0,512000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,1.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0020254291594028,1400635392.0,1400635392.0,3648067584.0,3627122688.0,19869696.0,0.0,0.0,51200.0,1024000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,2.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0019957862794399,1482424320.0,1482424320.0,7296135168.0,7254245376.0,39739392.0,0.0,0.0,102400.0,2048000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,4.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0020878408104181,1618739200.0,1618739200.0,14592270336.0,14508490752.0,79478784.0,0.0,0.0,204800.0,4096000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,8.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.002094766870141,1723596800.0,1723596800.0,29184540672.0,29016981504.0,158957568.0,0.0,0.0,409600.0,8192000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,16.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0023128479719161,1933312000.0,1933312000.0,58369081344.0,58033963008.0,317915136.0,0.0,0.0,819200.0,16384000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,32.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
