<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_format,input_size,latency,macs,max_memory,model,num_layers,requires_grad,total_params,trainable_params,use_dquant,use_torchscript
0.0,33554432.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 8, 512)",0.001019362000079127,33554432.0,338.6953125,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,134217728.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 8, 1024)",0.008400771000015083,134217728.0,338.6953125,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,536870912.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 8, 2048)",0.019203808300153467,536870912.0,338.6953125,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,1207959552.0,0.0,relu,374.69921875,16.0,,bsh,"(16, 8, 3072)",0.03300836629969126,1207959552.0,374.69921875,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,2147483648.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 8, 4096)",0.05810521130006237,2147483648.0,402.69921875,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,256.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 1)",2.6390399943920785e-05,256.0,402.69921875,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,1024.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 2)",3.2702499811421146e-05,1024.0,402.69921875,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,4096.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 4)",3.473069991741795e-05,4096.0,402.69921875,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,16384.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 8)",2.9983300191815942e-05,16384.0,402.69921875,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,65536.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 16)",5.8472700038691984e-05,65536.0,402.69921875,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,262144.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 32)",4.613040000549518e-05,262144.0,402.69921875,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,1048576.0,0.0,relu,402.69921875,16.0,,bsh,"(16, 16, 64)",8.794419991318137e-05,1048576.0,402.69921875,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,16777216.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 16, 256)",0.0006255788000999018,16777216.0,338.6953125,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
