<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs
20.0,953745408.0,20.0,174101889024.0,1.0,2457600.0,2229272576.0,96.0,224.0,0.024218595586717132,175107244032.0,2229272576.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,49152000.0,1.0,0.0,,
20.0,1271660544.0,20.0,232135852032.0,1.0,3276800.0,2489319424.0,128.0,224.0,0.030591436848044395,233476325376.0,2489319424.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,65536000.0,1.0,0.0,,
20.0,1907490816.0,20.0,348203778048.0,1.0,4915200.0,2921332736.0,192.0,224.0,0.046367937140166765,350214488064.0,2921332736.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,98304000.0,1.0,0.0,,
20.0,2543321088.0,20.0,464271704064.0,1.0,6553600.0,3282042880.0,256.0,224.0,0.060160092078149326,466952650752.0,3282042880.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,131072000.0,1.0,0.0,,
20.0,3814981632.0,20.0,696407556096.0,1.0,9830400.0,4167041024.0,384.0,224.0,0.08956460598856211,700428976128.0,4167041024.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,196608000.0,1.0,0.0,,
20.0,5086642176.0,20.0,928543408128.0,1.0,13107200.0,4880072704.0,512.0,224.0,0.11598740052431822,933905301504.0,4880072704.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,262144000.0,1.0,0.0,,
,,5.0,655566528.0,1.0,18432.0,1795162112.0,1.0,224.0,0.0008741479367017746,714206912.0,1795162112.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,58621952.0,3.0,0.0,2.0,0.0
,,5.0,1311133056.0,1.0,36864.0,2036334592.0,2.0,224.0,0.0007962428033351898,1428413824.0,2036334592.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,117243904.0,3.0,0.0,2.0,0.0
,,5.0,2622266112.0,1.0,73728.0,2306867200.0,4.0,224.0,0.0009300652891397476,2856827648.0,2306867200.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,234487808.0,3.0,0.0,2.0,0.0
,,5.0,5244532224.0,1.0,147456.0,2552233984.0,8.0,224.0,0.001316065713763237,5713655296.0,2552233984.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,468975616.0,3.0,0.0,2.0,0.0
,,5.0,10489064448.0,1.0,294912.0,2862612480.0,16.0,224.0,0.002056029438972473,11427310592.0,2862612480.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,937951232.0,3.0,0.0,2.0,0.0
,,5.0,20978128896.0,1.0,589824.0,3412066304.0,32.0,224.0,0.003264919109642506,22854621184.0,3412066304.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,1875902464.0,3.0,0.0,2.0,0.0
,,5.0,41956257792.0,1.0,1179648.0,3810525184.0,64.0,224.0,0.005684106796979904,45709242368.0,3810525184.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,3751804928.0,3.0,0.0,2.0,0.0
,,5.0,62934386688.0,1.0,1769472.0,4232052736.0,96.0,224.0,0.008101581037044525,68563863552.0,4232052736.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,5627707392.0,3.0,0.0,2.0,0.0
,,5.0,83912515584.0,1.0,2359296.0,4521459712.0,128.0,224.0,0.010106606595218181,91418484736.0,4521459712.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,7503609856.0,3.0,0.0,2.0,0.0
,,5.0,125868773376.0,1.0,3538944.0,4913627136.0,192.0,224.0,0.014494922384619713,137127727104.0,4913627136.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,11255414784.0,3.0,0.0,2.0,0.0
,,5.0,167825031168.0,1.0,4718592.0,5322571776.0,256.0,224.0,0.018838348612189294,182836969472.0,5322571776.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,15007219712.0,3.0,0.0,2.0,0.0
,,5.0,251737546752.0,1.0,7077888.0,5758779392.0,384.0,224.0,0.026945244707167148,274255454208.0,5758779392.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,22510829568.0,3.0,0.0,2.0,0.0
,,5.0,335650062336.0,1.0,9437184.0,6350176256.0,512.0,224.0,0.03575336616486311,365673938944.0,6350176256.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,30014439424.0,3.0,0.0,2.0,0.0
