<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs
17.0,0.0,53.0,5529796608.0,53.0,405929459712.0,,,1.0,196608000.0,3592421376.0,96.0,224.0,0.04547332520014606,411665694720.0,3592421376.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,9830400.0,1.0,0.0
17.0,0.0,53.0,7373062144.0,53.0,541239279616.0,,,1.0,262144000.0,3978297344.0,128.0,224.0,0.059778877900680524,548887592960.0,3978297344.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,13107200.0,1.0,0.0
17.0,0.0,53.0,11059593216.0,53.0,811858919424.0,,,1.0,393216000.0,4771020800.0,192.0,224.0,0.08847552630031713,823331389440.0,4771020800.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,19660800.0,1.0,0.0
17.0,0.0,53.0,14746124288.0,53.0,1082478559232.0,,,1.0,524288000.0,5502926848.0,256.0,224.0,0.11676990949999892,1097775185920.0,5502926848.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,26214400.0,1.0,0.0
17.0,0.0,53.0,22119186432.0,53.0,1623717838848.0,,,1.0,786432000.0,6874464256.0,384.0,224.0,0.17368520310046734,1646662778880.0,6874464256.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,39321600.0,1.0,0.0
17.0,0.0,53.0,29492248576.0,53.0,2164957118464.0,,,1.0,1048576000.0,8109686784.0,512.0,224.0,0.2308038653005497,2195550371840.0,8109686784.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,52428800.0,1.0,0.0
17.0,0.0,53.0,57602048.0,53.0,11395973120.0,,,1.0,2048000.0,2575302656.0,1.0,224.0,0.003049984999961453,11455725568.0,2575302656.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,102400.0,1.0,0.0
17.0,0.0,53.0,115204096.0,53.0,22791946240.0,,,1.0,4096000.0,2854223872.0,2.0,224.0,0.003604619899851968,22911451136.0,2854223872.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,204800.0,1.0,0.0
17.0,0.0,53.0,230408192.0,53.0,45583892480.0,,,1.0,8192000.0,3128950784.0,4.0,224.0,0.005512760099372826,45822902272.0,3128950784.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,409600.0,1.0,0.0
17.0,0.0,53.0,460816384.0,53.0,91167784960.0,,,1.0,16384000.0,3397386240.0,8.0,224.0,0.008576486100355395,91645804544.0,3397386240.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,819200.0,1.0,0.0
17.0,0.0,53.0,921632768.0,53.0,182335569920.0,,,1.0,32768000.0,3787456512.0,16.0,224.0,0.016248076900228624,183291609088.0,3787456512.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,1638400.0,1.0,0.0
17.0,0.0,53.0,1843265536.0,53.0,364671139840.0,,,1.0,65536000.0,4125097984.0,32.0,224.0,0.024736101100279486,366583218176.0,4125097984.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,3276800.0,1.0,0.0
17.0,0.0,53.0,3686531072.0,53.0,729342279680.0,,,1.0,131072000.0,4697620480.0,64.0,224.0,0.0454013513000973,733166436352.0,4697620480.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,6553600.0,1.0,0.0
17.0,0.0,53.0,5529796608.0,53.0,1094013419520.0,,,1.0,196608000.0,5236588544.0,96.0,224.0,0.06727939210031764,1099749654528.0,5236588544.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,9830400.0,1.0,0.0
17.0,0.0,53.0,7373062144.0,53.0,1458684559360.0,,,1.0,262144000.0,6213861376.0,128.0,224.0,0.08635295450003469,1466332872704.0,6213861376.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,13107200.0,1.0,0.0
17.0,0.0,53.0,11059593216.0,53.0,2188026839040.0,,,1.0,393216000.0,6945767424.0,192.0,224.0,0.12929492059993208,2199499309056.0,6945767424.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,19660800.0,1.0,0.0
17.0,0.0,53.0,14746124288.0,53.0,2917369118720.0,,,1.0,524288000.0,7780433920.0,256.0,224.0,0.16889636449996032,2932665745408.0,7780433920.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,26214400.0,1.0,0.0
17.0,0.0,53.0,22119186432.0,53.0,4376053678080.0,,,1.0,786432000.0,9000976384.0,384.0,224.0,0.2498236537001503,4398998618112.0,9000976384.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,39321600.0,1.0,0.0
17.0,0.0,53.0,29492248576.0,53.0,5834738237440.0,,,1.0,1048576000.0,10640949248.0,512.0,224.0,0.3309867574003874,5865331490816.0,10640949248.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,52428800.0,1.0,0.0
35.0,0.0,52.0,21826560.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,1895825408.0,1.0,224.0,0.0017714075002004392,336242432.0,1895825408.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,43653120.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,1908408320.0,2.0,224.0,0.0021740456999395975,672484864.0,1908408320.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,87306240.0,52.0,1252543488.0,1.0,0.0,1.0,5120000.0,1946157056.0,4.0,224.0,0.0017838204999861772,1344969728.0,1946157056.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,174612480.0,52.0,2505086976.0,1.0,0.0,1.0,10240000.0,1975517184.0,8.0,224.0,0.0016142908003530464,2689939456.0,1975517184.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,349224960.0,52.0,5010173952.0,1.0,0.0,1.0,20480000.0,2051014656.0,16.0,224.0,0.0020688648997747804,5379878912.0,2051014656.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,698449920.0,52.0,10020347904.0,1.0,0.0,1.0,40960000.0,2155872256.0,32.0,224.0,0.0035724488996493166,10759757824.0,2155872256.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,1396899840.0,52.0,20040695808.0,1.0,0.0,1.0,81920000.0,2329935872.0,64.0,224.0,0.006729354699928081,21519515648.0,2329935872.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,2095349760.0,52.0,30061043712.0,1.0,0.0,1.0,122880000.0,2548039680.0,96.0,224.0,0.009679391899408075,32279273472.0,2548039680.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,2793799680.0,52.0,40081391616.0,1.0,0.0,1.0,163840000.0,2722103296.0,128.0,224.0,0.012709120900399284,43039031296.0,2722103296.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,4190699520.0,52.0,60122087424.0,1.0,0.0,1.0,245760000.0,3068133376.0,192.0,224.0,0.01875266200004262,64558546944.0,3068133376.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,5587599360.0,52.0,80162783232.0,1.0,0.0,1.0,327680000.0,3412066304.0,256.0,224.0,0.024751652099803324,86078062592.0,3412066304.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,8381399040.0,52.0,120244174848.0,1.0,0.0,1.0,491520000.0,4089446400.0,384.0,224.0,0.036833223199937495,129117093888.0,4089446400.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,11175198720.0,52.0,160325566464.0,1.0,0.0,1.0,655360000.0,4995416064.0,512.0,224.0,0.048962377299903895,172156125184.0,4995416064.0,mnasnet,141.0,4383312.0,0.0,,,,
