<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_conv_macs_macs,avg_linear_macs_macs,avg_memory,batch_size,input_size,latency,macs,max_macs,max_macs_macs,max_memory,max_params,max_params_macs,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
245.0,32165563200.0,,,,,,,0.0,0.0,1561329664.0,6.0,224.0,0.04177065342664719,32635142976.0,1560674304.0,1560674304.0,1561329664.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,469195776.0,1.0,384000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,0.0,0.0,1664090112.0,8.0,224.0,0.042122763954102985,43513523968.0,2080899072.0,2080899072.0,1664090112.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,64331126400.0,,,,,,,0.0,0.0,1693450240.0,12.0,224.0,0.04057584200054407,65270285952.0,3121348608.0,3121348608.0,1693450240.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,938391552.0,1.0,768000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,0.0,0.0,1735393280.0,16.0,224.0,0.04123817943036556,87027047936.0,4161798144.0,4161798144.0,1735393280.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,107218544000.0,,,,,,,0.0,0.0,1821376512.0,20.0,224.0,0.03932639881968498,108783809920.0,5202247680.0,5202247680.0,1821376512.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,1563985920.0,1.0,1280000.0,,,,,,,,,,,,
245.0,128662252800.0,,,,,,,0.0,0.0,1968177152.0,24.0,224.0,0.03969856929033995,130540571904.0,6242697216.0,6242697216.0,1968177152.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,1876783104.0,1.0,1536000.0,,,,,,,,,,,,
245.0,150105961600.0,,,,,,,0.0,0.0,2008023040.0,28.0,224.0,0.040054998174309735,152297333888.0,7283146752.0,7283146752.0,2008023040.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,2189580288.0,1.0,1792000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,0.0,0.0,2047868928.0,32.0,224.0,0.04084772989153862,174054095872.0,8323596288.0,8323596288.0,2047868928.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,214437088000.0,,,,,,,0.0,0.0,2108686336.0,40.0,224.0,0.04006257113069296,217567619840.0,10404495360.0,10404495360.0,2108686336.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,3127971840.0,1.0,2560000.0,,,,,,,,,,,,
245.0,257324505600.0,,,,,,,0.0,0.0,2182086656.0,48.0,224.0,0.04563007932156325,261081143808.0,12485394432.0,12485394432.0,2182086656.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,3753566208.0,1.0,3072000.0,,,,,,,,,,,,
