<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs
52.0,2564395008.0,52.0,28751450112.0,1.0,0.0,1.0,122880000.0,,,,,1804599296.0,96.0,224.0,0.005871572718024254,31438725120.0,1804599296.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,3419193344.0,52.0,38335266816.0,1.0,0.0,1.0,163840000.0,,,,,1932525568.0,128.0,224.0,0.007572161592543125,41918300160.0,1932525568.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,5128790016.0,52.0,57502900224.0,1.0,0.0,1.0,245760000.0,,,,,2179989504.0,192.0,224.0,0.012027972750365734,62877450240.0,2179989504.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,6838386688.0,52.0,76670533632.0,1.0,0.0,1.0,327680000.0,,,,,2427453440.0,256.0,224.0,0.016255339607596397,83836600320.0,2427453440.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,10257580032.0,52.0,115005800448.0,1.0,0.0,1.0,491520000.0,,,,,2922381312.0,384.0,224.0,0.026284631341695786,125754900480.0,2922381312.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,13676773376.0,52.0,153341067264.0,1.0,0.0,1.0,655360000.0,,,,,3530555392.0,512.0,224.0,0.031532425060868265,167673200640.0,3530555392.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
53.0,57602048.0,53.0,4228431872.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,1485832192.0,1.0,224.0,0.0014985110610723491,4288184320.0,1485832192.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,115204096.0,53.0,8456863744.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,1552941056.0,2.0,224.0,0.002004924044013023,8576368640.0,1552941056.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,230408192.0,53.0,16913727488.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,1628438528.0,4.0,224.0,0.001722572185099125,17152737280.0,1628438528.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,460816384.0,53.0,33827454976.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,1710227456.0,8.0,224.0,0.002304614521563053,34305474560.0,1710227456.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,921632768.0,53.0,67654909952.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,1779433472.0,16.0,224.0,0.0038430277258157727,68610949120.0,1779433472.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,1843265536.0,53.0,135309819904.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,1913651200.0,32.0,224.0,0.006385809369385242,137221898240.0,1913651200.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,3686531072.0,53.0,270619639808.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2123366400.0,64.0,224.0,0.011808576434850691,274443796480.0,2123366400.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
