<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,act_fn,avg_memory,batch_size,device,device_config,device_idx,dropout,exp_name,input_size,iters,latency,macs,max_memory,model,model_config,num_threads,platform,randomized_text,requires_grad,results_dir,total_nn_calls,total_params,trainable_params,use_channels_last,use_cuda,use_dquant,use_fp16,use_ipex,use_jit,use_tensorrt,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
45.0,192124706816.0,,,,,,,relu,3273654272.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,6.97001814842224e-07,192132898816.0,3273654272.0,gernet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,8192000.0,,,41.0,0.0,,,,,,,,
45.0,384249413632.0,,,,,,,relu,4269801472.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.329508662223816e-07,384265797632.0,4269801472.0,gernet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,16384000.0,,,41.0,0.0,,,,,,,,
20.0,1813561344.0,,,1.0,512000.0,,,relu,1761607680.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.260590791702271e-07,1824033792.0,1761607680.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,3627122688.0,,,1.0,1024000.0,,,relu,1803550720.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.079914212226869e-07,3648067584.0,1803550720.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,7254245376.0,,,1.0,2048000.0,,,relu,1858076672.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.53253698348999e-07,7296135168.0,1858076672.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,14508490752.0,,,1.0,4096000.0,,,relu,1933574144.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.13951885700226e-07,14592270336.0,1933574144.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,29016981504.0,,,1.0,8192000.0,,,relu,2038431744.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.379800081253052e-07,29184540672.0,2038431744.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,58033963008.0,,,1.0,16384000.0,,,relu,2243952640.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.448717951774597e-07,58369081344.0,2243952640.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,116067926016.0,,,1.0,32768000.0,,,relu,2657091584.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.420778274536131e-07,116738162688.0,2657091584.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,635830272.0,1.0,1638400.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,232135852032.0,,,1.0,65536000.0,,,relu,3483369472.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.478520274162292e-07,233476325376.0,3483369472.0,resnet18,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,52.0,11689512.0,11689512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1271660544.0,1.0,3276800.0,,,9.0,0.0,1.0,0.0,,,,,,
