latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0027819961309432,1545338880.0,1545338880.0,58369081344.0,58033963008.0,,,16384000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,32.0,224.0,True,False,False,False,,relu,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,,,,,
0.005248162895441,1750859776.0,1750859776.0,116738162688.0,116067926016.0,,,32768000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,64.0,224.0,True,False,False,False,,relu,20.0,635830272.0,1.0,1638400.0,,,9.0,0.0,1.0,0.0,,,,,,
0.0095164485275745,2161901568.0,2161901568.0,233476325376.0,232135852032.0,,,65536000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,128.0,224.0,True,False,False,False,,relu,20.0,1271660544.0,1.0,3276800.0,,,9.0,0.0,1.0,0.0,,,,,,
0.0006394639611244,1587281920.0,1587281920.0,714206912.0,655566528.0,0.0,,58621952.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,1.0,224.0,True,False,False,False,,relu,,,1.0,18432.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008738424628973,1740374016.0,1740374016.0,1428413824.0,1311133056.0,0.0,,117243904.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,2.0,224.0,True,False,False,False,,relu,,,1.0,36864.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008625950664281,1891368960.0,1891368960.0,2856827648.0,2622266112.0,0.0,,234487808.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,4.0,224.0,True,False,False,False,,relu,,,1.0,73728.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008741360157728,1891368960.0,1891368960.0,5713655296.0,5244532224.0,0.0,,468975616.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,8.0,224.0,True,False,False,False,,relu,,,1.0,147456.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008696440607309,1891368960.0,1891368960.0,11427310592.0,10489064448.0,0.0,,937951232.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,16.0,224.0,True,False,False,False,,relu,,,1.0,294912.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008372969925403,1891368960.0,1891368960.0,22854621184.0,20978128896.0,0.0,,1875902464.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,32.0,224.0,True,False,False,False,,relu,,,1.0,589824.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008502356708049,1966866432.0,1966866432.0,45709242368.0,41956257792.0,0.0,,3751804928.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,64.0,224.0,True,False,False,False,,relu,,,1.0,1179648.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0008551575243473,1966866432.0,1966866432.0,91418484736.0,83912515584.0,0.0,,7503609856.0,21.0,5.0,2.0,,3.0,61100840.0,0.0,alexnet,128.0,224.0,True,False,False,False,,relu,,,1.0,2359296.0,,,7.0,0.0,3.0,0.0,,,,,,
0.0026980884373188,1272709120.0,1272709120.0,819094576.0,818924576.0,0.0,,,57.0,26.0,1.0,,,1248424.0,0.0,squeezenet,1.0,224.0,True,False,False,False,,relu,,,1.0,170000.0,,,26.0,0.0,3.0,0.0,,,,,,
0.0023977611213922,1274806272.0,1274806272.0,1638189152.0,1637849152.0,0.0,,,57.0,26.0,1.0,,,1248424.0,0.0,squeezenet,2.0,224.0,True,False,False,False,,relu,,,1.0,340000.0,,,26.0,0.0,3.0,0.0,,,,,,
