model,batch,latency,macs,dtype
vgg16,16.0,0.03409246128052473,247525031936.0,fp16
vgg16,32.0,0.08820324249565602,495050063872.0,fp16
vgg16,64.0,0.17566911093890666,990100127744.0,fp16
densenet,1.0,0.010181601904332638,7845841056.0,fp16
densenet,2.0,0.010629152469336987,15691682112.0,fp16
densenet,3.0,0.010911601595580578,23537523168.0,fp16
densenet,4.0,0.012726229578256608,31383364224.0,fp16
densenet,6.0,0.014162451326847077,47075046336.0,fp16
densenet,8.0,0.017719166316092015,62766728448.0,fp16
densenet,16.0,0.02631485469639301,125533456896.0,fp16
densenet,32.0,0.06178016413003206,251066913792.0,fp16
densenet,64.0,0.12398890376091004,502133827584.0,fp16
inception,1.0,0.004535046666860581,2856567712.0,fp16
inception,2.0,0.004607466608285904,5713135424.0,fp16
inception,3.0,0.0046209323033690455,8569703136.0,fp16
inception,4.0,0.005779719017446041,11426270848.0,fp16
inception,6.0,0.0051689746975898745,17139406272.0,fp16
inception,8.0,0.0056339135020971294,22852541696.0,fp16
inception,16.0,0.009074002765119075,45705083392.0,fp16
inception,32.0,0.015417783223092556,91410166784.0,fp16
inception,64.0,0.03019560445100069,182820333568.0,fp16
googlenet,1.0,0.002575402557849884,1511332032.0,fp16
googlenet,2.0,0.0025194332003593443,3022664064.0,fp16
googlenet,3.0,0.0029326482117176056,4533996096.0,fp16
googlenet,4.0,0.002653319239616394,6045328128.0,fp16
googlenet,6.0,0.003001684173941612,9067992192.0,fp16
googlenet,8.0,0.004067369289696216,12090656256.0,fp16
googlenet,16.0,0.005078883208334446,24181312512.0,fp16
googlenet,32.0,0.009595254361629486,48362625024.0,fp16
googlenet,64.0,0.0180522720888257,96725250048.0,fp16
mobilenet_v2,1.0,0.00114702969789505,327486720.0,fp16
mobilenet_v2,2.0,0.0013259484991431237,654973440.0,fp16
mobilenet_v2,3.0,0.0013287365064024925,982460160.0,fp16
mobilenet_v2,4.0,0.0016213773190975188,1309946880.0,fp16
mobilenet_v2,6.0,0.0015798382088541986,1964920320.0,fp16
mobilenet_v2,8.0,0.0020412697270512582,2619893760.0,fp16
mobilenet_v2,16.0,0.0034987395256757736,5239787520.0,fp16
mobilenet_v2,32.0,0.006175463534891606,10479575040.0,fp16
