img_size,in_channel,input_size,kernel_size,macs,out_channel,stride
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,6435072.0,64.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,25740288.0,64.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,102961152.0,64.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,411844608.0,64.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,131328.0,64.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,295488.0,64.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,1181952.0,64.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,4727808.0,64.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,17368128.0,64.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,66484800.0,64.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,7374400.0,64.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,42476544.0,64.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,199403776.0,64.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,860150016.0,64.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,3569209600.0,64.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,14537597184.0,64.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,2654784.0,64.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,10619136.0,64.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,49850944.0,64.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,215037504.0,64.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,892302400.0,64.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,3634399296.0,64.0,2.0
