model,batch_size,hidden_dim,bidirectional,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,seq_len
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0006478901021182537,8454144.0,526336.0,0.0,16.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0010424064472317695,16908288.0,526336.0,0.0,32.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0015264594927430152,33816576.0,526336.0,0.0,64.0
lstm,1.0,256.0,False,cuda,True,False,False,0.0,relu,15614083072.0,15614083072.0,0.0031563659198582173,67633152.0,526336.0,0.0,128.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15653928960.0,15653928960.0,0.00027219653129577636,2105344.0,2101248.0,0.0,1.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15653928960.0,15653928960.0,0.00029037389904260633,4210688.0,2101248.0,0.0,2.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15674900480.0,15674900480.0,0.00035185432061553,8421376.0,2101248.0,0.0,4.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15674900480.0,15674900480.0,0.00040694521740078924,16842752.0,2101248.0,0.0,8.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.0007511193864047528,33685504.0,2101248.0,0.0,16.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.0011866124346852302,67371008.0,2101248.0,0.0,32.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15716843520.0,15716843520.0,0.0020431458950042726,134742016.0,2101248.0,0.0,64.0
lstm,1.0,512.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.003777701687067747,269484032.0,2101248.0,0.0,128.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15716843520.0,15716843520.0,0.0003174843266606331,8404992.0,8396800.0,0.0,1.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15752495104.0,15752495104.0,0.0003896520473062992,16809984.0,8396800.0,0.0,2.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15788146688.0,15788146688.0,0.0008184682577848434,33619968.0,8396800.0,0.0,4.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15823798272.0,15823798272.0,0.0012257675640285014,67239936.0,8396800.0,0.0,8.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15859449856.0,15859449856.0,0.002031806670129299,134479872.0,8396800.0,0.0,16.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15895101440.0,15895101440.0,0.0034728187136352064,268959744.0,8396800.0,0.0,32.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15930753024.0,15930753024.0,0.00655098045244813,537919488.0,8396800.0,0.0,64.0
lstm,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15966404608.0,15966404608.0,0.012639625370502472,1075838976.0,8396800.0,0.0,128.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16304046080.0,16304046080.0,0.0007345515303313732,33587200.0,33570816.0,0.0,1.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16440360960.0,16440360960.0,0.0008635532110929489,67174400.0,33570816.0,0.0,2.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16576675840.0,16576675840.0,0.002580077201128006,134348800.0,33570816.0,0.0,4.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16712990720.0,16712990720.0,0.003807520493865013,268697600.0,33570816.0,0.0,8.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16442458112.0,16442458112.0,0.006026855017989874,537395200.0,33570816.0,0.0,16.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16134176768.0,16134176768.0,0.010125993005931377,1074790400.0,33570816.0,0.0,32.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16272588800.0,16272588800.0,0.019397767260670662,2149580800.0,33570816.0,0.0,64.0
lstm,1.0,2048.0,False,cuda,True,False,False,0.0,relu,16411000832.0,16411000832.0,0.03726706160232425,4299161600.0,33570816.0,0.0,128.0
