latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn
3.647468984127045e-05,1272709120.0,1272709120.0,256.0,256.0,0.0,72.0,0.0,feedforward,1.0,bsh,"(1, 4, 8)",1.0,1.0,0.0,0.0,0.0,,relu
3.566034138202667e-05,1272709120.0,1272709120.0,1024.0,1024.0,0.0,272.0,0.0,feedforward,1.0,bsh,"(1, 4, 16)",1.0,1.0,0.0,0.0,0.0,,relu
3.519877791404724e-05,1272709120.0,1272709120.0,4096.0,4096.0,0.0,1056.0,0.0,feedforward,1.0,bsh,"(1, 4, 32)",1.0,1.0,0.0,0.0,0.0,,relu
3.5472214221954346e-05,1272709120.0,1272709120.0,16384.0,16384.0,0.0,4160.0,0.0,feedforward,1.0,bsh,"(1, 4, 64)",1.0,1.0,0.0,0.0,0.0,,relu
3.915801644325256e-05,1272709120.0,1272709120.0,262144.0,262144.0,0.0,65792.0,0.0,feedforward,1.0,bsh,"(1, 4, 256)",1.0,1.0,0.0,0.0,0.0,,relu
3.684088587760925e-05,1272709120.0,1272709120.0,1048576.0,1048576.0,0.0,262656.0,0.0,feedforward,1.0,bsh,"(1, 4, 512)",1.0,1.0,0.0,0.0,0.0,,relu
6.478279829025269e-05,1293680640.0,1293680640.0,4194304.0,4194304.0,0.0,1049600.0,0.0,feedforward,1.0,bsh,"(1, 4, 1024)",1.0,1.0,0.0,0.0,0.0,,relu
6.246566772460938e-05,1293680640.0,1293680640.0,16777216.0,16777216.0,0.0,4196352.0,0.0,feedforward,1.0,bsh,"(1, 4, 2048)",1.0,1.0,0.0,0.0,0.0,,relu
6.168223917484284e-05,1331429376.0,1331429376.0,37748736.0,37748736.0,0.0,9440256.0,0.0,feedforward,1.0,bsh,"(1, 4, 3072)",1.0,1.0,0.0,0.0,0.0,,relu
6.24183565378189e-05,1377566720.0,1377566720.0,67108864.0,67108864.0,0.0,16781312.0,0.0,feedforward,1.0,bsh,"(1, 4, 4096)",1.0,1.0,0.0,0.0,0.0,,relu
3.611780703067779e-05,1377566720.0,1377566720.0,8.0,8.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 8, 1)",1.0,1.0,0.0,0.0,0.0,,relu
3.644600510597229e-05,1377566720.0,1377566720.0,32.0,32.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 8, 2)",1.0,1.0,0.0,0.0,0.0,,relu
