<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
56.0,124812800.0,56.0,2302143872.0,,,1.0,16384000.0,,,1.0,0.0,1176502272.0,16.0,224.0,0.0072624504566192625,2443340672.0,1176502272.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,249625600.0,56.0,4604287744.0,,,1.0,32768000.0,,,1.0,0.0,1218445312.0,32.0,224.0,0.007937391102313996,4886681344.0,1218445312.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,499251200.0,56.0,9208575488.0,,,1.0,65536000.0,,,1.0,0.0,1298137088.0,64.0,224.0,0.008517028763890266,9773362688.0,1298137088.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,748876800.0,56.0,13812863232.0,,,1.0,98304000.0,,,1.0,0.0,1476395008.0,96.0,224.0,0.009087634831666946,14660044032.0,1476395008.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,998502400.0,56.0,18417150976.0,,,1.0,131072000.0,,,1.0,0.0,1633681408.0,128.0,224.0,0.01061595156788826,19546725376.0,1633681408.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,1497753600.0,56.0,27625726464.0,,,1.0,196608000.0,,,1.0,0.0,1868562432.0,192.0,224.0,0.01556055098772049,29320088064.0,1868562432.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,1997004800.0,56.0,36834301952.0,,,1.0,262144000.0,,,1.0,0.0,2181038080.0,256.0,224.0,0.01941040232777596,39093450752.0,2181038080.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,2995507200.0,56.0,55251452928.0,,,1.0,393216000.0,,,1.0,0.0,2648702976.0,384.0,224.0,0.025218463502824303,58640176128.0,2648702976.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,3994009600.0,56.0,73668603904.0,,,1.0,524288000.0,,,1.0,0.0,3265265664.0,512.0,224.0,0.03074968252331018,78186901504.0,3265265664.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
52.0,26712448.0,52.0,299494272.0,1.0,0.0,1.0,1280000.0,,,,,1124073472.0,1.0,224.0,0.004706001468002796,327486720.0,1124073472.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,53424896.0,52.0,598988544.0,1.0,0.0,1.0,2560000.0,,,,,1128267776.0,2.0,224.0,0.005145150050520897,654973440.0,1128267776.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,106849792.0,52.0,1197977088.0,1.0,0.0,1.0,5120000.0,,,,,1155530752.0,4.0,224.0,0.0051858464255929,1309946880.0,1155530752.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,213699584.0,52.0,2395954176.0,1.0,0.0,1.0,10240000.0,,,,,1201668096.0,8.0,224.0,0.005767760239541531,2619893760.0,1201668096.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,427399168.0,52.0,4791908352.0,1.0,0.0,1.0,20480000.0,,,,,1281359872.0,16.0,224.0,0.005521443858742714,5239787520.0,1281359872.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,854798336.0,52.0,9583816704.0,1.0,0.0,1.0,40960000.0,,,,,1463812096.0,32.0,224.0,0.005375066213309765,10479575040.0,1463812096.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,1709596672.0,52.0,19167633408.0,1.0,0.0,1.0,81920000.0,,,,,1828716544.0,64.0,224.0,0.009117064625024795,20959150080.0,1828716544.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,2564395008.0,52.0,28751450112.0,1.0,0.0,1.0,122880000.0,,,,,2302672896.0,96.0,224.0,0.013889143802225593,31438725120.0,2302672896.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,3419193344.0,52.0,38335266816.0,1.0,0.0,1.0,163840000.0,,,,,2919235584.0,128.0,224.0,0.016399235278367997,41918300160.0,2919235584.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,5128790016.0,52.0,57502900224.0,1.0,0.0,1.0,245760000.0,,,,,3846176768.0,192.0,224.0,0.02410182636231184,62877450240.0,3846176768.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,6838386688.0,52.0,76670533632.0,1.0,0.0,1.0,327680000.0,,,,,5081399296.0,256.0,224.0,0.031670861691236486,83836600320.0,5081399296.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,10257580032.0,52.0,115005800448.0,1.0,0.0,1.0,491520000.0,,,,,6931087360.0,384.0,224.0,0.04692819081246853,125754900480.0,6931087360.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,13676773376.0,52.0,153341067264.0,1.0,0.0,1.0,655360000.0,,,,,9397338112.0,512.0,224.0,0.06071080937981607,167673200640.0,9397338112.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
53.0,57602048.0,53.0,4228431872.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,1222639616.0,1.0,224.0,0.0067952293902635574,4288184320.0,1222639616.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,115204096.0,53.0,8456863744.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,1285554176.0,2.0,224.0,0.006755289621651173,8576368640.0,1285554176.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
