latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,in_channel,out_channel,kernel_size,stride,img_size
6.345659494400024e-05,1295777792.0,1295777792.0,18662400.0,18662400.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,224.0
3.927610814571381e-05,1274806272.0,1274806272.0,100352.0,100352.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,7.0
4.255101084709168e-05,1274806272.0,1274806272.0,401408.0,401408.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,14.0
3.9365515112876893e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,28.0
3.986470401287079e-05,1274806272.0,1274806272.0,6422528.0,6422528.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,56.0
6.251037120819092e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,112.0
5.820766091346741e-05,1295777792.0,1295777792.0,102760448.0,102760448.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,224.0
3.830753266811371e-05,1274806272.0,1274806272.0,32768.0,32768.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,7.0
4.268288612365723e-05,1274806272.0,1274806272.0,100352.0,100352.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,14.0
3.925897181034088e-05,1274806272.0,1274806272.0,401408.0,401408.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,28.0
4.058964550495148e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,56.0
6.0063973069190976e-05,1295777792.0,1295777792.0,6422528.0,6422528.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,112.0
5.853511393070221e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,224.0
4.022717475891113e-05,1274806272.0,1274806272.0,8192.0,8192.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,5.0,7.0
4.214085638523102e-05,1274806272.0,1274806272.0,18432.0,18432.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,5.0,14.0
3.9760395884513856e-05,1274806272.0,1274806272.0,73728.0,73728.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,5.0,28.0
3.9215013384819033e-05,1274806272.0,1274806272.0,294912.0,294912.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,5.0,56.0
5.949102342128754e-05,1295777792.0,1295777792.0,1083392.0,1083392.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,5.0,112.0
5.9245899319648745e-05,1295777792.0,1295777792.0,4147200.0,4147200.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,5.0,224.0
3.9838999509811404e-05,1274806272.0,1274806272.0,460800.0,460800.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,1.0,7.0
4.292093217372894e-05,1274806272.0,1274806272.0,2654208.0,2654208.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,1.0,14.0
3.949999809265137e-05,1274806272.0,1274806272.0,12460032.0,12460032.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,1.0,28.0
3.962740302085876e-05,1274806272.0,1274806272.0,53747712.0,53747712.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,1.0,56.0
5.5167824029922485e-05,1295777792.0,1295777792.0,223027200.0,223027200.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,1.0,112.0
5.526728928089142e-05,1295777792.0,1295777792.0,908402688.0,908402688.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,1.0,224.0
3.9296969771385196e-05,1274806272.0,1274806272.0,165888.0,165888.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,2.0,7.0
4.267580807209015e-05,1274806272.0,1274806272.0,663552.0,663552.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,2.0,14.0
4.121661186218262e-05,1274806272.0,1274806272.0,3115008.0,3115008.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,2.0,28.0
3.924034535884857e-05,1274806272.0,1274806272.0,13436928.0,13436928.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,2.0,56.0
3.931783139705658e-05,1295777792.0,1295777792.0,55756800.0,55756800.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,2.0,112.0
5.9125199913978574e-05,1295777792.0,1295777792.0,227100672.0,227100672.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,2.0,224.0
3.8009881973266604e-05,1274806272.0,1274806272.0,18432.0,18432.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,5.0,7.0
4.384368658065796e-05,1274806272.0,1274806272.0,165888.0,165888.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,5.0,14.0
3.917664289474487e-05,1274806272.0,1274806272.0,663552.0,663552.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,5.0,28.0
3.9628520607948306e-05,1274806272.0,1274806272.0,2230272.0,2230272.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,5.0,56.0
3.945976495742798e-05,1295777792.0,1295777792.0,8921088.0,8921088.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,5.0,112.0
5.832873284816742e-05,1295777792.0,1295777792.0,37324800.0,37324800.0,18496.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,3.0,5.0,224.0
3.963448107242584e-05,1274806272.0,1274806272.0,200704.0,200704.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,1.0,7.0
4.25778329372406e-05,1274806272.0,1274806272.0,802816.0,802816.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,1.0,14.0
0.00013266727328300476,1274806272.0,1274806272.0,3211264.0,3211264.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,1.0,28.0
6.076507270336151e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,1.0,56.0
6.235763430595398e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,1.0,112.0
6.051585078239441e-05,1323040768.0,1323040768.0,205520896.0,205520896.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,1.0,224.0
3.927536308765411e-05,1274806272.0,1274806272.0,65536.0,65536.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,2.0,7.0
4.239641129970551e-05,1274806272.0,1274806272.0,200704.0,200704.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,2.0,14.0
0.0001498658210039139,1274806272.0,1274806272.0,802816.0,802816.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,2.0,28.0
5.999729037284851e-05,1274806272.0,1274806272.0,3211264.0,3211264.0,4224.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,128.0,1.0,2.0,56.0
