latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,input_size,in_channel,out_channel,kernel_size,stride,img_size
4.387274384498596e-05,1274806272.0,1274806272.0,2654208.0,2654208.0,18496.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,64.0,3.0,1.0,14.0
4.13849949836731e-05,1274806272.0,1274806272.0,12460032.0,12460032.0,18496.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,64.0,3.0,1.0,28.0
4.104934632778168e-05,1274806272.0,1274806272.0,53747712.0,53747712.0,18496.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,64.0,3.0,1.0,56.0
5.84091991186142e-05,1295777792.0,1295777792.0,223027200.0,223027200.0,18496.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,64.0,3.0,1.0,112.0
5.713403224945068e-05,1295777792.0,1295777792.0,908402688.0,908402688.0,18496.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,64.0,3.0,1.0,224.0
4.086606204509735e-05,1274806272.0,1274806272.0,165888.0,165888.0,18496.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,64.0,3.0,2.0,7.0
4.367530345916748e-05,1274806272.0,1274806272.0,663552.0,663552.0,18496.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,64.0,3.0,2.0,14.0
4.086978733539581e-05,1274806272.0,1274806272.0,3115008.0,3115008.0,18496.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,64.0,3.0,2.0,28.0
4.249736666679382e-05,1274806272.0,1274806272.0,13436928.0,13436928.0,18496.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,64.0,3.0,2.0,56.0
4.049576818943024e-05,1295777792.0,1295777792.0,55756800.0,55756800.0,18496.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,64.0,3.0,2.0,112.0
6.143003702163696e-05,1295777792.0,1295777792.0,227100672.0,227100672.0,18496.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,64.0,3.0,2.0,224.0
3.962144255638122e-05,1274806272.0,1274806272.0,18432.0,18432.0,18496.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,64.0,3.0,5.0,7.0
4.524141550064087e-05,1274806272.0,1274806272.0,165888.0,165888.0,18496.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,64.0,3.0,5.0,14.0
4.036501049995422e-05,1274806272.0,1274806272.0,663552.0,663552.0,18496.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,64.0,3.0,5.0,28.0
4.239901900291443e-05,1274806272.0,1274806272.0,2230272.0,2230272.0,18496.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,64.0,3.0,5.0,56.0
4.039444029331207e-05,1295777792.0,1295777792.0,8921088.0,8921088.0,18496.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,64.0,3.0,5.0,112.0
5.955435335636139e-05,1295777792.0,1295777792.0,37324800.0,37324800.0,18496.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,64.0,3.0,5.0,224.0
4.094839096069336e-05,1274806272.0,1274806272.0,200704.0,200704.0,4224.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,128.0,1.0,1.0,7.0
