<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
,,59.0,5989408768.0,3.0,0.0,1.0,204800.0,13.0,0.0,1468006400.0,4.0,224.0,0.0016367388889193535,6045328128.0,1468006400.0,googlenet,140.0,13004888.0,0.0,5.0,4096000.0,59.0,51618560.0,,
,,59.0,11978817536.0,3.0,0.0,1.0,409600.0,13.0,0.0,1564475392.0,8.0,224.0,0.0025695282965898514,12090656256.0,1564475392.0,googlenet,140.0,13004888.0,0.0,5.0,8192000.0,59.0,103237120.0,,
,,59.0,23957635072.0,3.0,0.0,1.0,819200.0,13.0,0.0,1608515584.0,16.0,224.0,0.004519776068627834,24181312512.0,1608515584.0,googlenet,140.0,13004888.0,0.0,5.0,16384000.0,59.0,206474240.0,,
,,59.0,47915270144.0,3.0,0.0,1.0,1638400.0,13.0,0.0,1753219072.0,32.0,224.0,0.008159347251057625,48362625024.0,1753219072.0,googlenet,140.0,13004888.0,0.0,5.0,32768000.0,59.0,412948480.0,,
,,59.0,95830540288.0,3.0,0.0,1.0,3276800.0,13.0,0.0,1988100096.0,64.0,224.0,0.015601198375225066,96725250048.0,1988100096.0,googlenet,140.0,13004888.0,0.0,5.0,65536000.0,59.0,825896960.0,,
,,59.0,143745810432.0,3.0,0.0,1.0,4915200.0,13.0,0.0,2243952640.0,96.0,224.0,0.02326239440590144,145087875072.0,2243952640.0,googlenet,140.0,13004888.0,0.0,5.0,98304000.0,59.0,1238845440.0,,
,,59.0,191661080576.0,3.0,0.0,1.0,6553600.0,13.0,0.0,2516582400.0,128.0,224.0,0.030453340150415894,193450500096.0,2516582400.0,googlenet,140.0,13004888.0,0.0,5.0,131072000.0,59.0,1651793920.0,,
,,59.0,287491620864.0,3.0,0.0,1.0,9830400.0,13.0,0.0,2933915648.0,192.0,224.0,0.04579667691141367,290175750144.0,2933915648.0,googlenet,140.0,13004888.0,0.0,5.0,196608000.0,59.0,2477690880.0,,
,,59.0,383322161152.0,3.0,0.0,1.0,13107200.0,13.0,0.0,3342860288.0,256.0,224.0,0.0605537025257945,386901000192.0,3342860288.0,googlenet,140.0,13004888.0,0.0,5.0,262144000.0,59.0,3303587840.0,,
,,59.0,574983241728.0,3.0,0.0,1.0,19660800.0,13.0,0.0,4171235328.0,384.0,224.0,0.09080485571175814,580351500288.0,4171235328.0,googlenet,140.0,13004888.0,0.0,5.0,393216000.0,59.0,4955381760.0,,
