device,model,accelerator,requires_grad,batch_size,sequence_length,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_gpu,albert,1.0,0.0,1.0,64.0,2511077376.0,2511077376.0,0.0,11683584.0,5442699264.0,0.0074560461507644
herron_gpu,albert,1.0,0.0,1.0,128.0,2511077376.0,2511077376.0,0.0,11683584.0,10884808704.0,0.0075400707020889
herron_gpu,albert,1.0,0.0,1.0,256.0,2536243200.0,2536243200.0,0.0,11683584.0,21769027584.0,0.0074010854470543
herron_gpu,albert,1.0,0.0,1.0,512.0,2550923264.0,2550923264.0,0.0,11683584.0,43537465344.0,0.0147343649005051
herron_gpu,longformer,1.0,0.0,1.0,1.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0219805544009432
herron_gpu,longformer,1.0,0.0,1.0,2.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0214099453005474
herron_gpu,longformer,1.0,0.0,1.0,4.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0215149750467389
herron_gpu,longformer,1.0,0.0,1.0,8.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0214731147512793
herron_gpu,longformer,1.0,0.0,1.0,16.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0215404230984859
herron_gpu,longformer,1.0,0.0,1.0,32.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0215063539450056
herron_gpu,longformer,1.0,0.0,1.0,64.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0215648040000814
herron_gpu,longformer,1.0,0.0,1.0,128.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0215558858006261
herron_gpu,longformer,1.0,0.0,1.0,256.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0216472066997084
herron_gpu,longformer,1.0,0.0,1.0,512.0,3177971712.0,3177971712.0,0.0,148659456.0,43487133696.0,0.0217880998039618
herron_gpu,mobile_bert,1.0,0.0,1.0,1.0,2546728960.0,2546728960.0,0.0,24581888.0,20250624.0,0.0156179794983472
herron_gpu,mobile_bert,1.0,0.0,1.0,2.0,2546728960.0,2546728960.0,0.0,24581888.0,40501248.0,0.0159706450998783
herron_gpu,mobile_bert,1.0,0.0,1.0,4.0,2546728960.0,2546728960.0,0.0,24581888.0,81002496.0,0.0163630335475318
herron_gpu,mobile_bert,1.0,0.0,1.0,8.0,2546728960.0,2546728960.0,0.0,24581888.0,162004992.0,0.0160740005958359
herron_gpu,mobile_bert,1.0,0.0,1.0,16.0,2546728960.0,2546728960.0,0.0,24581888.0,324009984.0,0.0161651053989771
herron_gpu,mobile_bert,1.0,0.0,1.0,32.0,2546728960.0,2546728960.0,0.0,24581888.0,648019968.0,0.0216532733000349
herron_gpu,mobile_bert,1.0,0.0,1.0,64.0,2548826112.0,2548826112.0,0.0,24581888.0,1296039936.0,0.0215634034015238
herron_gpu,mobile_bert,1.0,0.0,1.0,128.0,2550923264.0,2550923264.0,0.0,24581888.0,2592079872.0,0.0217309485014993
herron_gpu,mobile_bert,1.0,0.0,1.0,256.0,2555117568.0,2555117568.0,0.0,24581888.0,5184159744.0,0.0218120236997492
herron_gpu,mobile_bert,1.0,0.0,1.0,512.0,2582380544.0,2582380544.0,0.0,24581888.0,10368319488.0,0.0217848816013429
herron_gpu,squeeze_bert,1.0,0.0,1.0,1.0,2680946688.0,2680946688.0,0.0,51094272.0,27214848.0,0.0072292056982405485
herron_gpu,squeeze_bert,1.0,0.0,1.0,2.0,2680946688.0,2680946688.0,0.0,51094272.0,53839872.0,0.013480654801242054
herron_gpu,squeeze_bert,1.0,0.0,1.0,4.0,2680946688.0,2680946688.0,0.0,51094272.0,107089920.0,0.013714218599488959
herron_gpu,squeeze_bert,1.0,0.0,1.0,8.0,2680946688.0,2680946688.0,0.0,51094272.0,213590016.0,0.008074969053268433
herron_gpu,squeeze_bert,1.0,0.0,1.0,16.0,2680946688.0,2680946688.0,0.0,51094272.0,426590208.0,0.008040341699961573
herron_gpu,squeeze_bert,1.0,0.0,1.0,32.0,2683043840.0,2683043840.0,0.0,51094272.0,852590592.0,0.009266262402525172
herron_gpu,squeeze_bert,1.0,0.0,1.0,64.0,2683043840.0,2683043840.0,0.0,51094272.0,1704591360.0,0.013689279998652637
herron_gpu,squeeze_bert,1.0,0.0,1.0,128.0,2687238144.0,2687238144.0,0.0,51094272.0,3408592896.0,0.013611072348430753
herron_gpu,squeeze_bert,1.0,0.0,1.0,256.0,2710306816.0,2710306816.0,0.0,51094272.0,6816595968.0,0.013683566049439832
herron_gpu,squeeze_bert,1.0,0.0,1.0,512.0,2722889728.0,2722889728.0,0.0,51094272.0,13632602112.0,0.016121152049163357
