<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
52.0,3419193344.0,52.0,38335266816.0,1.0,0.0,1.0,163840000.0,,,,,3504340992.0,128.0,224.0,0.011480566400132371,41918300160.0,3504340992.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,5128790016.0,52.0,57502900224.0,1.0,0.0,1.0,245760000.0,,,,,4431282176.0,192.0,224.0,0.01677842089993646,62877450240.0,4431282176.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,6838386688.0,52.0,76670533632.0,1.0,0.0,1.0,327680000.0,,,,,5664407552.0,256.0,224.0,0.02242410670005484,83836600320.0,5664407552.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,10257580032.0,52.0,115005800448.0,1.0,0.0,1.0,491520000.0,,,,,7514095616.0,384.0,224.0,0.03272606640020968,125754900480.0,7514095616.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,13676773376.0,52.0,153341067264.0,1.0,0.0,1.0,655360000.0,,,,,9982443520.0,512.0,224.0,0.04341249829958542,167673200640.0,9982443520.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
53.0,57602048.0,53.0,4228431872.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,1807745024.0,1.0,224.0,0.008269040699815378,4288184320.0,1807745024.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,115204096.0,53.0,8456863744.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,1870659584.0,2.0,224.0,0.00886569150025025,8576368640.0,1870659584.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,230408192.0,53.0,16913727488.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,1906311168.0,4.0,224.0,0.01007448909949744,17152737280.0,1906311168.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,460816384.0,53.0,33827454976.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,2019557376.0,8.0,224.0,0.009518832199682949,34305474560.0,2019557376.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,921632768.0,53.0,67654909952.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,2202009600.0,16.0,224.0,0.0093677814998955,68610949120.0,2202009600.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,1843265536.0,53.0,135309819904.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,2545942528.0,32.0,224.0,0.013782649799395584,137221898240.0,2545942528.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
