accelerator,act_fn,avg_memory,batch_size,bidirectional,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,274.34609375,1.0,0.0,cpu,0.0,64.0,0.001790040399919235,1073152.0,274.37109375,rnn,0.0,8320.0,0.0,0.0,128.0
0.0,relu,274.8828125,1.0,0.0,cpu,0.0,256.0,9.77667999904952e-05,131840.0,274.8828125,rnn,0.0,131584.0,0.0,0.0,1.0
0.0,relu,275.4375,1.0,0.0,cpu,0.0,256.0,0.0001377735000460234,263680.0,275.4375,rnn,0.0,131584.0,0.0,0.0,2.0
0.0,relu,275.9453125,1.0,0.0,cpu,0.0,256.0,0.00021744059995398857,527360.0,275.9453125,rnn,0.0,131584.0,0.0,0.0,4.0
0.0,relu,275.9453125,1.0,0.0,cpu,0.0,256.0,0.0003416997999920568,1054720.0,275.9453125,rnn,0.0,131584.0,0.0,0.0,8.0
0.0,relu,275.9453125,1.0,0.0,cpu,0.0,256.0,0.00037289930005499625,2109440.0,275.9453125,rnn,0.0,131584.0,0.0,0.0,16.0
0.0,relu,275.9453125,1.0,0.0,cpu,0.0,256.0,0.0006415783000193187,4218880.0,275.9453125,rnn,0.0,131584.0,0.0,0.0,32.0
0.0,relu,276.45859375,1.0,0.0,cpu,0.0,256.0,0.0019420615999479196,8437760.0,276.49609375,rnn,0.0,131584.0,0.0,0.0,64.0
0.0,relu,278.0234375,1.0,0.0,cpu,0.0,256.0,0.0034630946000106634,16875520.0,278.0234375,rnn,0.0,131584.0,0.0,0.0,128.0
0.0,relu,279.79296875,1.0,0.0,cpu,0.0,512.0,0.0004091913999218377,525824.0,279.79296875,rnn,0.0,525312.0,0.0,0.0,1.0
0.0,relu,281.83203125,1.0,0.0,cpu,0.0,512.0,0.0002620513999318064,1051648.0,281.83203125,rnn,0.0,525312.0,0.0,0.0,2.0
0.0,relu,283.8359375,1.0,0.0,cpu,0.0,512.0,0.00039469299999836947,2103296.0,283.8359375,rnn,0.0,525312.0,0.0,0.0,4.0
0.0,relu,285.8359375,1.0,0.0,cpu,0.0,512.0,0.0005720465000194963,4206592.0,285.8359375,rnn,0.0,525312.0,0.0,0.0,8.0
0.0,relu,287.8359375,1.0,0.0,cpu,0.0,512.0,0.0007495499000469863,8413184.0,287.8359375,rnn,0.0,525312.0,0.0,0.0,16.0
0.0,relu,289.9609375,1.0,0.0,cpu,0.0,512.0,0.0018534883999564045,16826368.0,289.9609375,rnn,0.0,525312.0,0.0,0.0,32.0
