latency,avg_memory,max_memory,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn
0.0022801540791988,1427898368.0,1427898368.0,mobilenet_v2,8.0,224.0,True,False,True,False,,relu
0.0023367952555418,1549533184.0,1549533184.0,mobilenet_v2,16.0,224.0,True,False,True,False,,relu
0.0037677727639675,1788608512.0,1788608512.0,mobilenet_v2,32.0,224.0,True,False,True,False,,relu
0.006923846155405,2252079104.0,2252079104.0,mobilenet_v2,64.0,224.0,True,False,True,False,,relu
0.0131288457661867,3130785792.0,3130785792.0,mobilenet_v2,128.0,224.0,True,False,True,False,,relu
0.0027569651603698,1390149632.0,1390149632.0,resnext50_32x4d,1.0,224.0,True,False,True,False,,relu
0.0036208286881446,1503395840.0,1503395840.0,resnext50_32x4d,2.0,224.0,True,False,True,False,,relu
0.0037439692765474,1528561664.0,1528561664.0,resnext50_32x4d,4.0,224.0,True,False,True,False,,relu
0.0061681453138589,1564213248.0,1564213248.0,resnext50_32x4d,8.0,224.0,True,False,True,False,,relu
0.0119802802801132,1731985408.0,1731985408.0,resnext50_32x4d,16.0,224.0,True,False,True,False,,relu
0.0249932147562503,1996226560.0,1996226560.0,resnext50_32x4d,32.0,224.0,True,False,True,False,,relu
0.0468408666551113,2518417408.0,2518417408.0,resnext50_32x4d,64.0,224.0,True,False,True,False,,relu
0.0910002596676349,3350986752.0,3350986752.0,resnext50_32x4d,128.0,224.0,True,False,True,False,,relu
0.0037885688245296,1761345536.0,1761345536.0,wide_resnet50_2,1.0,224.0,True,False,True,False,,relu
0.004209616035223,2023489536.0,2023489536.0,wide_resnet50_2,2.0,224.0,True,False,True,False,,relu
0.0059152036905288,2017198080.0,2017198080.0,wide_resnet50_2,4.0,224.0,True,False,True,False,,relu
0.0103438336402177,1933312000.0,1933312000.0,wide_resnet50_2,8.0,224.0,True,False,True,False,,relu
0.016616191715002,2533097472.0,2533097472.0,wide_resnet50_2,16.0,224.0,True,False,True,False,,relu
