device,model,accelerator,batch_size,sequence_length,median,mean,std,min,max,5_pct,95_pct
herron_cpu,reformer,0.0,1.0,8.0,0.0274829864501953,0.0279513144493103,0.0013047395661574,0.0271608829498291,0.0322403907775878,0.0272136211395263,0.0317490935325622
herron_cpu,reformer,0.0,1.0,16.0,0.0441426038742065,0.0436333465576171,0.0025798286114385,0.0374701023101806,0.0494060516357421,0.040794825553893986,0.047938334941864
herron_cpu,reformer,0.0,1.0,32.0,0.0497914552688598,0.0503051662445068,0.0014206425358191,0.0491135120391845,0.0561871528625488,0.0493675589561462,0.0535737872123718
herron_cpu,reformer,0.0,1.0,64.0,0.0676020383834838,0.0679855370521545,0.001177568988466,0.0668177604675293,0.0740492343902587,0.067145562171936,0.0705371856689453
herron_cpu,reformer,0.0,1.0,128.0,0.0911898612976074,0.09507918596267698,0.007748375213148,0.0902137756347656,0.1190326213836669,0.0904045701026916,0.1134315490722656
herron_cpu,reformer,0.0,1.0,256.0,0.1483112573623657,0.1531056594848633,0.0092381574772621,0.1455676555633545,0.1846773624420166,0.145673382282257,0.1745221138000488
herron_cpu,reformer,0.0,1.0,512.0,0.4145243167877197,0.4245580387115478,0.0221528554398581,0.3946521282196045,0.4829552173614502,0.4032326459884643,0.4706526279449463
herron_cpu,squeeze_bert,0.0,1.0,1.0,0.014434337615966797,0.014058332443237304,0.0014505067131786035,0.011677980422973631,0.02065730094909668,0.011747002601623535,0.01570979356765747
herron_cpu,squeeze_bert,0.0,1.0,2.0,0.01635086536407471,0.01605230331420899,0.0013192226431638953,0.01294255256652832,0.019152402877807617,0.0131567120552063,0.017385709285736083
herron_cpu,squeeze_bert,0.0,1.0,4.0,0.014563918113708496,0.015808243751525883,0.002096364233215773,0.013614177703857422,0.02126765251159668,0.013668525218963622,0.01849343776702881
herron_cpu,squeeze_bert,0.0,1.0,8.0,0.018792390823364258,0.018649852275848387,0.0009783087769878946,0.014672279357910156,0.02107405662536621,0.016798472404479986,0.019288408756256103
herron_cpu,squeeze_bert,0.0,1.0,16.0,0.020114898681640625,0.020215406417846686,0.00035152517500774554,0.01998567581176757,0.02268195152282715,0.020003771781921385,0.0206814169883728
herron_cpu,squeeze_bert,0.0,1.0,32.0,0.020430445671081543,0.022196378707885742,0.002802098092026959,0.01942586898803711,0.029718637466430664,0.019484317302703856,0.0253903865814209
herron_cpu,squeeze_bert,0.0,1.0,64.0,0.02366030216217041,0.02378662347793579,0.0006820259349158824,0.02282261848449707,0.028083086013793945,0.02308703660964966,0.02476251125335693
herron_cpu,squeeze_bert,0.0,1.0,128.0,0.032734274864196784,0.03355271816253662,0.0019225441339165094,0.03174543380737305,0.04125571250915527,0.03189554214477538,0.03719755411148072
herron_cpu,squeeze_bert,0.0,1.0,256.0,0.040980935096740716,0.04137825012207031,0.0013103131790790845,0.04011201858520508,0.04745936393737793,0.0403333306312561,0.04479936361312866
herron_cpu,squeeze_bert,0.0,1.0,512.0,0.09436261653900146,0.09392486572265624,0.005905375351392074,0.08066129684448242,0.11085820198059082,0.08147038221359253,0.10193731784820556
herron_cpu,resnet18,0.0,1.0,,0.013264894485473631,0.013877804916683991,0.0011317095605946016,0.012923002243041992,0.019439697265625,0.012976408004760742,0.015530824661254885
herron_cpu,alexnet,0.0,1.0,,0.008259773254394531,0.008418390066316813,0.0005473171521288958,0.007876157760620117,0.011358976364135742,0.007939815521240234,0.009424924850463867
