<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
17.0,0.0,53.0,3686531072.0,53.0,270619639808.0,1.0,131072000.0,1.0,0.0,2768240640.0,64.0,224.0,0.06282816622406244,274443796480.0,2768240640.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,6553600.0,,,,,,
17.0,0.0,53.0,5529796608.0,53.0,405929459712.0,1.0,196608000.0,1.0,0.0,3693084672.0,96.0,224.0,0.09066229742020368,411665694720.0,3693084672.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,9830400.0,,,,,,
17.0,0.0,53.0,7373062144.0,53.0,541239279616.0,1.0,262144000.0,1.0,0.0,4926210048.0,128.0,224.0,0.11973355002701284,548887592960.0,4926210048.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,13107200.0,,,,,,
17.0,0.0,53.0,11059593216.0,53.0,811858919424.0,1.0,393216000.0,1.0,0.0,6775898112.0,192.0,224.0,0.1800719179213047,823331389440.0,6775898112.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,19660800.0,,,,,,
17.0,0.0,53.0,14746124288.0,53.0,1082478559232.0,1.0,524288000.0,1.0,0.0,9244246016.0,256.0,224.0,0.23836377914994955,1097775185920.0,9244246016.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,26214400.0,,,,,,
17.0,0.0,53.0,22119186432.0,53.0,1623717838848.0,1.0,786432000.0,1.0,0.0,12949913600.0,384.0,224.0,0.3556415880098939,1646662778880.0,12949913600.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,39321600.0,,,,,,
17.0,0.0,53.0,29492248576.0,53.0,2164957118464.0,1.0,1048576000.0,1.0,0.0,17892900864.0,512.0,224.0,0.4726624431088567,2195550371840.0,17892900864.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,52428800.0,,,,,,
17.0,0.0,53.0,57602048.0,53.0,11395973120.0,1.0,2048000.0,1.0,0.0,1604321280.0,1.0,224.0,0.00698454938828945,11455725568.0,1604321280.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,102400.0,,,,,,
17.0,0.0,53.0,115204096.0,53.0,22791946240.0,1.0,4096000.0,1.0,0.0,1864368128.0,2.0,224.0,0.008410385064780711,22911451136.0,1864368128.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,204800.0,,,,,,
17.0,0.0,53.0,230408192.0,53.0,45583892480.0,1.0,8192000.0,1.0,0.0,2170552320.0,4.0,224.0,0.012329214811325071,45822902272.0,2170552320.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,409600.0,,,,,,
17.0,0.0,53.0,460816384.0,53.0,91167784960.0,1.0,16384000.0,1.0,0.0,2386558976.0,8.0,224.0,0.020235793851315968,91645804544.0,2386558976.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,819200.0,,,,,,
17.0,0.0,53.0,921632768.0,53.0,182335569920.0,1.0,32768000.0,1.0,0.0,3047161856.0,16.0,224.0,0.02776398658752441,183291609088.0,3047161856.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,1638400.0,,,,,,
17.0,0.0,53.0,1843265536.0,53.0,364671139840.0,1.0,65536000.0,1.0,0.0,3628072960.0,32.0,224.0,0.04769380949437618,366583218176.0,3628072960.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,3276800.0,,,,,,
17.0,0.0,53.0,3686531072.0,53.0,729342279680.0,1.0,131072000.0,1.0,0.0,4561305600.0,64.0,224.0,0.09455283246934414,733166436352.0,4561305600.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,6553600.0,,,,,,
17.0,0.0,53.0,5529796608.0,53.0,1094013419520.0,1.0,196608000.0,1.0,0.0,5953814528.0,96.0,224.0,0.13965659942477945,1099749654528.0,5953814528.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,9830400.0,,,,,,
17.0,0.0,53.0,7373062144.0,53.0,1458684559360.0,1.0,262144000.0,1.0,0.0,6882852864.0,128.0,224.0,0.1813561027869582,1466332872704.0,6882852864.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,13107200.0,,,,,,
17.0,0.0,53.0,11059593216.0,53.0,2188026839040.0,1.0,393216000.0,1.0,0.0,8273264640.0,192.0,224.0,0.2746182208880782,2199499309056.0,8273264640.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,19660800.0,,,,,,
17.0,0.0,53.0,14746124288.0,53.0,2917369118720.0,1.0,524288000.0,1.0,0.0,11983126528.0,256.0,224.0,0.3631927285343409,2932665745408.0,11983126528.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,26214400.0,,,,,,
17.0,0.0,53.0,22119186432.0,53.0,4376053678080.0,1.0,786432000.0,1.0,0.0,14768144384.0,384.0,224.0,0.5434389887377621,4398998618112.0,14768144384.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,39321600.0,,,,,,
17.0,0.0,53.0,29492248576.0,53.0,5834738237440.0,1.0,1048576000.0,1.0,0.0,18480103424.0,512.0,224.0,0.7184961503371596,5865331490816.0,18480103424.0,wide_resnet50_2,126.0,68883240.0,0.0,,,1.0,52428800.0,,,,,,
35.0,0.0,52.0,21826560.0,52.0,313135872.0,1.0,1280000.0,,,1130364928.0,1.0,224.0,0.0046464713290333744,336242432.0,1130364928.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,43653120.0,52.0,626271744.0,1.0,2560000.0,,,1157627904.0,2.0,224.0,0.004440879635512829,672484864.0,1157627904.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,87306240.0,52.0,1252543488.0,1.0,5120000.0,,,1189085184.0,4.0,224.0,0.0046648534014821046,1344969728.0,1189085184.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,174612480.0,52.0,2505086976.0,1.0,10240000.0,,,1254096896.0,8.0,224.0,0.004700358957052231,2689939456.0,1254096896.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
