<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
17.0,0.0,53.0,1843265536.0,53.0,364671139840.0,,,1.0,65536000.0,4171235328.0,32.0,224.0,0.03416883750032866,366583218176.0,4171235328.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,3276800.0,1.0,0.0,,,,,,
17.0,0.0,53.0,3686531072.0,53.0,729342279680.0,,,1.0,131072000.0,5205131264.0,64.0,224.0,0.06164910119987325,733166436352.0,5205131264.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,6553600.0,1.0,0.0,,,,,,
17.0,0.0,53.0,5529796608.0,53.0,1094013419520.0,,,1.0,196608000.0,6752829440.0,96.0,224.0,0.09307223720024922,1099749654528.0,6752829440.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,9830400.0,1.0,0.0,,,,,,
17.0,0.0,53.0,7373062144.0,53.0,1458684559360.0,,,1.0,262144000.0,8816427008.0,128.0,224.0,0.1208025574000203,1466332872704.0,8816427008.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,13107200.0,1.0,0.0,,,,,,
17.0,0.0,53.0,11059593216.0,53.0,2188026839040.0,,,1.0,393216000.0,11905531904.0,192.0,224.0,0.1841784912998264,2199499309056.0,11905531904.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,19660800.0,1.0,0.0,,,,,,
17.0,0.0,53.0,14746124288.0,53.0,2917369118720.0,,,1.0,524288000.0,16024338432.0,256.0,224.0,0.24475233470002425,2932665745408.0,16024338432.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,26214400.0,1.0,0.0,,,,,,
17.0,0.0,53.0,22119186432.0,53.0,4376053678080.0,,,1.0,786432000.0,22202548224.0,384.0,224.0,0.3697404509002809,4398998618112.0,22202548224.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,39321600.0,1.0,0.0,,,,,,
17.0,0.0,53.0,29492248576.0,53.0,5834738237440.0,,,1.0,1048576000.0,14136901632.0,512.0,224.0,0.4982251551999071,5865331490816.0,14136901632.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,52428800.0,1.0,0.0,,,,,,
35.0,0.0,52.0,21826560.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,1713373184.0,1.0,224.0,0.006184387800021796,336242432.0,1713373184.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,43653120.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,1742733312.0,2.0,224.0,0.006519549099903088,672484864.0,1742733312.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,87306240.0,52.0,1252543488.0,1.0,0.0,1.0,5120000.0,1774190592.0,4.0,224.0,0.006070088100386784,1344969728.0,1774190592.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,174612480.0,52.0,2505086976.0,1.0,0.0,1.0,10240000.0,1839202304.0,8.0,224.0,0.005638841900508851,2689939456.0,1839202304.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,349224960.0,52.0,5010173952.0,1.0,0.0,1.0,20480000.0,1983905792.0,16.0,224.0,0.005787040499853902,5379878912.0,1983905792.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,698449920.0,52.0,10020347904.0,1.0,0.0,1.0,40960000.0,2243952640.0,32.0,224.0,0.006159204900177429,10759757824.0,2243952640.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,1396899840.0,52.0,20040695808.0,1.0,0.0,1.0,81920000.0,2759852032.0,64.0,224.0,0.011741882799833549,21519515648.0,2759852032.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,2095349760.0,52.0,30061043712.0,1.0,0.0,1.0,122880000.0,3227516928.0,96.0,224.0,0.01709926830008044,32279273472.0,3227516928.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,2793799680.0,52.0,40081391616.0,1.0,0.0,1.0,163840000.0,3848273920.0,128.0,224.0,0.021959108600276517,43039031296.0,3848273920.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,4190699520.0,52.0,60122087424.0,1.0,0.0,1.0,245760000.0,4781506560.0,192.0,224.0,0.032531917800224616,64558546944.0,4781506560.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,5587599360.0,52.0,80162783232.0,1.0,0.0,1.0,327680000.0,6023020544.0,256.0,224.0,0.04222456959978445,86078062592.0,6023020544.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,8381399040.0,52.0,120244174848.0,1.0,0.0,1.0,491520000.0,7881097216.0,384.0,224.0,0.0629857195999648,129117093888.0,7881097216.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
35.0,0.0,52.0,11175198720.0,52.0,160325566464.0,1.0,0.0,1.0,655360000.0,10347347968.0,512.0,224.0,0.08403783609974197,172156125184.0,10347347968.0,mnasnet,141.0,4383312.0,0.0,,,,,,,,,,
,,,,,,37.0,0.0,73.0,10872225792.0,1556086784.0,1.0,128.0,0.006965618200047175,10882056192.0,1556086784.0,bert,135.0,109482240.0,0.0,,,,,25.0,9830400.0,,,,
,,,,,,37.0,0.0,73.0,21744451584.0,2030043136.0,2.0,128.0,0.007075289099884684,21764112384.0,2030043136.0,bert,135.0,109482240.0,0.0,,,,,25.0,19660800.0,,,,
,,,,,,37.0,0.0,73.0,43488903168.0,2522873856.0,4.0,128.0,0.007361403499817244,43528224768.0,2522873856.0,bert,135.0,109482240.0,0.0,,,,,25.0,39321600.0,,,,
,,,,,,37.0,0.0,73.0,86977806336.0,2522873856.0,8.0,128.0,0.012956489399948623,87056449536.0,2522873856.0,bert,135.0,109482240.0,0.0,,,,,25.0,78643200.0,,,,
,,,,,,37.0,0.0,73.0,173955612672.0,2627731456.0,16.0,128.0,0.025292354999692183,174112899072.0,2627731456.0,bert,135.0,109482240.0,0.0,,,,,25.0,157286400.0,,,,
,,,,,,37.0,0.0,73.0,347911225344.0,3200253952.0,32.0,128.0,0.046524385100201474,348225798144.0,3200253952.0,bert,135.0,109482240.0,0.0,,,,,25.0,314572800.0,,,,
,,,,,,37.0,0.0,73.0,695822450688.0,3875536896.0,64.0,128.0,0.09065582100010942,696451596288.0,3875536896.0,bert,135.0,109482240.0,0.0,,,,,25.0,629145600.0,,,,
,,,,,,37.0,0.0,73.0,1043733676032.0,4555014144.0,96.0,128.0,0.1351775611001358,1044677394432.0,4555014144.0,bert,135.0,109482240.0,0.0,,,,,25.0,943718400.0,,,,
,,,,,,37.0,0.0,73.0,1391644901376.0,5259657216.0,128.0,128.0,0.17999467849949724,1392903192576.0,5259657216.0,bert,135.0,109482240.0,0.0,,,,,25.0,1258291200.0,,,,
,,,,,,37.0,0.0,73.0,2087467352064.0,5865734144.0,192.0,128.0,0.2706539915998292,2089354788864.0,5865734144.0,bert,135.0,109482240.0,0.0,,,,,25.0,1887436800.0,,,,
,,,,,,37.0,0.0,73.0,2783289802752.0,6671040512.0,256.0,128.0,0.35688455229974353,2785806385152.0,6671040512.0,bert,135.0,109482240.0,0.0,,,,,25.0,2516582400.0,,,,
,,,,,,37.0,0.0,73.0,4174934704128.0,7879000064.0,384.0,128.0,0.5403124121003202,4178709577728.0,7879000064.0,bert,135.0,109482240.0,0.0,,,,,25.0,3774873600.0,,,,
,,,,,,37.0,0.0,73.0,5566579605504.0,9491709952.0,512.0,128.0,0.7418571210997471,5571612770304.0,9491709952.0,bert,135.0,109482240.0,0.0,,,,,25.0,5033164800.0,,,,
,,,,,,13.0,0.0,36.0,5435817984.0,1344274432.0,1.0,128.0,0.0035974848993646454,5440929792.0,1344274432.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,5111808.0,,,,
,,,,,,13.0,0.0,36.0,10871635968.0,1652555776.0,2.0,128.0,0.003847276400483679,10881859584.0,1652555776.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,10223616.0,,,,
,,,,,,13.0,0.0,36.0,21743271936.0,1935671296.0,4.0,128.0,0.003802266500133557,21763719168.0,1935671296.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,20447232.0,,,,
,,,,,,13.0,0.0,36.0,43486543872.0,2277507072.0,8.0,128.0,0.006532661100209225,43527438336.0,2277507072.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,40894464.0,,,,
,,,,,,13.0,0.0,36.0,86973087744.0,2497708032.0,16.0,128.0,0.012863667600322514,87054876672.0,2497708032.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,81788928.0,,,,
,,,,,,13.0,0.0,36.0,173946175488.0,2548039680.0,32.0,128.0,0.02371141120020184,174109753344.0,2548039680.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,163577856.0,,,,
,,,,,,13.0,0.0,36.0,347892350976.0,2875195392.0,64.0,128.0,0.045970034199854126,348219506688.0,2875195392.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,327155712.0,,,,
,,,,,,13.0,0.0,36.0,521838526464.0,3365928960.0,96.0,128.0,0.06874098120024427,522329260032.0,3365928960.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,490733568.0,,,,
,,,,,,13.0,0.0,36.0,695784701952.0,3768582144.0,128.0,128.0,0.0921656250000524,696439013376.0,3768582144.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,654311424.0,,,,
,,,,,,13.0,0.0,36.0,1043677052928.0,4372561920.0,192.0,128.0,0.13816892709946846,1044658520064.0,4372561920.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,981467136.0,,,,
,,,,,,13.0,0.0,36.0,1391569403904.0,5177868288.0,256.0,128.0,0.1824237667999114,1392878026752.0,5177868288.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,1308622848.0,,,,
,,,,,,13.0,0.0,36.0,2087354105856.0,6385827840.0,384.0,128.0,0.27515012660005594,2089317040128.0,6385827840.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,1962934272.0,,,,
,,,,,,13.0,0.0,36.0,2783138807808.0,7996440576.0,512.0,128.0,0.3787859431002289,2785756053504.0,7996440576.0,distilbert,62.0,66362880.0,0.0,,,,,13.0,2617245696.0,,,,
,,,,,,61.0,0.0,84.0,8266973184.0,1648361472.0,1.0,128.0,0.015965687500283817,8274444288.0,1648361472.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,7471104.0,,,,
,,,,,,61.0,0.0,84.0,16533946368.0,2252341248.0,2.0,128.0,0.017368586699740264,16548888576.0,2252341248.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,14942208.0,,,,
,,,,,,61.0,0.0,84.0,33067892736.0,2854223872.0,4.0,128.0,0.016632597200077724,33097777152.0,2854223872.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,29884416.0,,,,
,,,,,,61.0,0.0,84.0,66135785472.0,2860515328.0,8.0,128.0,0.017188650999742094,66195554304.0,2860515328.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,59768832.0,,,,
,,,,,,61.0,0.0,84.0,132271570944.0,3449815040.0,16.0,128.0,0.023694726200483275,132391108608.0,3449815040.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,119537664.0,,,,
,,,,,,61.0,0.0,84.0,264543141888.0,4737466368.0,32.0,128.0,0.04299840809981106,264782217216.0,4737466368.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,239075328.0,,,,
,,,,,,61.0,0.0,84.0,529086283776.0,6717177856.0,64.0,128.0,0.08058504590007942,529564434432.0,6717177856.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,478150656.0,,,,
,,,,,,61.0,0.0,84.0,793629425664.0,8533311488.0,96.0,128.0,0.12018723069995756,794346651648.0,8533311488.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,717225984.0,,,,
,,,,,,61.0,0.0,84.0,1058172567552.0,11307843584.0,128.0,128.0,0.15704610770044386,1059128868864.0,11307843584.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,956301312.0,,,,
,,,,,,61.0,0.0,84.0,1587258851328.0,15541993472.0,192.0,128.0,0.2351352568999573,1588693303296.0,15541993472.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,1434451968.0,,,,
,,,,,,61.0,0.0,84.0,2116345135104.0,20881342464.0,256.0,128.0,0.3097741429999587,2118257737728.0,20881342464.0,funnel_transformer,174.0,130973184.0,0.0,,,,,29.0,1912602624.0,,,,
,,,,,,4.0,0.0,8.0,10884808704.0,1119879168.0,1.0,128.0,0.006542859799810685,10894311424.0,1119879168.0,albert,15.0,11683584.0,0.0,,,,,3.0,9502720.0,,,,
,,,,,,4.0,0.0,8.0,21769617408.0,1182793728.0,2.0,128.0,0.006998175899934722,21788622848.0,1182793728.0,albert,15.0,11683584.0,0.0,,,,,3.0,19005440.0,,,,
,,,,,,4.0,0.0,8.0,43539234816.0,1262485504.0,4.0,128.0,0.00735880909996922,43577245696.0,1262485504.0,albert,15.0,11683584.0,0.0,,,,,3.0,38010880.0,,,,
,,,,,,4.0,0.0,8.0,87078469632.0,1375731712.0,8.0,128.0,0.01291385700023966,87154491392.0,1375731712.0,albert,15.0,11683584.0,0.0,,,,,3.0,76021760.0,,,,
,,,,,,4.0,0.0,8.0,174156939264.0,1524629504.0,16.0,128.0,0.02500578740000492,174308982784.0,1524629504.0,albert,15.0,11683584.0,0.0,,,,,3.0,152043520.0,,,,
,,,,,,4.0,0.0,8.0,348313878528.0,1788870656.0,32.0,128.0,0.046285808499669664,348617965568.0,1788870656.0,albert,15.0,11683584.0,0.0,,,,,3.0,304087040.0,,,,
,,,,,,4.0,0.0,8.0,696627757056.0,2191523840.0,64.0,128.0,0.0904831092004315,697235931136.0,2191523840.0,albert,15.0,11683584.0,0.0,,,,,3.0,608174080.0,,,,
,,,,,,4.0,0.0,8.0,1044941635584.0,2795503616.0,96.0,128.0,0.13491491629974914,1045853896704.0,2795503616.0,albert,15.0,11683584.0,0.0,,,,,3.0,912261120.0,,,,
,,,,,,4.0,0.0,8.0,1393255514112.0,3600809984.0,128.0,128.0,0.17877572770012193,1394471862272.0,3600809984.0,albert,15.0,11683584.0,0.0,,,,,3.0,1216348160.0,,,,
,,,,,,4.0,0.0,8.0,2089883271168.0,4808769536.0,192.0,128.0,0.2699613845004933,2091707793408.0,4808769536.0,albert,15.0,11683584.0,0.0,,,,,3.0,1824522240.0,,,,
,,,,,,4.0,0.0,8.0,2786511028224.0,6419382272.0,256.0,128.0,0.3565677254999173,2788943724544.0,6419382272.0,albert,15.0,11683584.0,0.0,,,,,3.0,2432696320.0,,,,
,,,,,,4.0,0.0,8.0,4179766542336.0,8835301376.0,384.0,128.0,0.5421587174998421,4183415586816.0,8835301376.0,albert,15.0,11683584.0,0.0,,,,,3.0,3649044480.0,,,,
,,,,,,4.0,0.0,8.0,5573022056448.0,12056526848.0,512.0,128.0,0.7499070525998832,5577887449088.0,12056526848.0,albert,15.0,11683584.0,0.0,,,,,3.0,4865392640.0,,,,
,,,,,,25.0,0.0,109.0,43487133696.0,1790967808.0,1.0,128.0,0.020750767000572524,43526455296.0,1790967808.0,longformer,159.0,148659456.0,0.0,,,,,25.0,39321600.0,,,,
,,,,,,25.0,0.0,109.0,86974267392.0,2512388096.0,2.0,128.0,0.02580517879978288,87052910592.0,2512388096.0,longformer,159.0,148659456.0,0.0,,,,,25.0,78643200.0,,,,
,,,,,,25.0,0.0,109.0,173948534784.0,3309305856.0,4.0,128.0,0.047104334799951166,174105821184.0,3309305856.0,longformer,159.0,148659456.0,0.0,,,,,25.0,157286400.0,,,,
,,,,,,25.0,0.0,109.0,347897069568.0,3667918848.0,8.0,128.0,0.08780675459929625,348211642368.0,3667918848.0,longformer,159.0,148659456.0,0.0,,,,,25.0,314572800.0,,,,
,,,,,,25.0,0.0,109.0,695794139136.0,4783603712.0,16.0,128.0,0.17316011099974274,696423284736.0,4783603712.0,longformer,159.0,148659456.0,0.0,,,,,25.0,629145600.0,,,,
,,,,,,25.0,0.0,109.0,1391588278272.0,7006584832.0,32.0,128.0,0.34319274549998224,1392846569472.0,7006584832.0,longformer,159.0,148659456.0,0.0,,,,,25.0,1258291200.0,,,,
,,,,,,25.0,0.0,109.0,2783176556544.0,11448352768.0,64.0,128.0,0.6849363449000521,2785693138944.0,11448352768.0,longformer,159.0,148659456.0,0.0,,,,,25.0,2516582400.0,,,,
