latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.conv.Conv2d'>_macs,img_size,in_channel,kernel_size,out_channel,stride
0.0004384219646453,1276903424.0,1276903424.0,1048576.0,1048576.0,0.0,1052672.0,0.0,feedforward,16.0,bsh,"(1, 1, 256)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.7214905023574826e-05,1276903424.0,1276903424.0,262144.0,262144.0,0.0,262656.0,0.0,feedforward,1.0,bsh,"(1, 1, 512)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.908178329467773e-05,1279000576.0,1279000576.0,524288.0,524288.0,0.0,525312.0,0.0,feedforward,2.0,bsh,"(1, 1, 512)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001283977180719,1279000576.0,1279000576.0,1048576.0,1048576.0,0.0,1050624.0,0.0,feedforward,4.0,bsh,"(1, 1, 512)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002239774912595,1285292032.0,1285292032.0,2097152.0,2097152.0,0.0,2101248.0,0.0,feedforward,8.0,bsh,"(1, 1, 512)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004432436078786,1289486336.0,1289486336.0,4194304.0,4194304.0,0.0,4202496.0,0.0,feedforward,16.0,bsh,"(1, 1, 512)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.798939287662506e-05,1310457856.0,1310457856.0,1048576.0,1048576.0,0.0,1049600.0,0.0,feedforward,1.0,bsh,"(1, 1, 1024)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.844140589237213e-05,1310457856.0,1310457856.0,2097152.0,2097152.0,0.0,2099200.0,0.0,feedforward,2.0,bsh,"(1, 1, 1024)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001290138810873,1310457856.0,1310457856.0,4194304.0,4194304.0,0.0,4198400.0,0.0,feedforward,4.0,bsh,"(1, 1, 1024)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002276260405778,1335623680.0,1335623680.0,8388608.0,8388608.0,0.0,8396800.0,0.0,feedforward,8.0,bsh,"(1, 1, 1024)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004467140883207,1356595200.0,1356595200.0,16777216.0,16777216.0,0.0,16793600.0,0.0,feedforward,16.0,bsh,"(1, 1, 1024)",1.0,0.0,0.0,0.0,,relu,,,,,,
5.312785506248474e-05,1356595200.0,1356595200.0,4194304.0,4194304.0,0.0,4196352.0,0.0,feedforward,1.0,bsh,"(1, 1, 2048)",1.0,0.0,0.0,0.0,,relu,,,,,,
9.429827332496644e-05,1390149632.0,1390149632.0,8388608.0,8388608.0,0.0,8392704.0,0.0,feedforward,2.0,bsh,"(1, 1, 2048)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001551166176795,1390149632.0,1390149632.0,16777216.0,16777216.0,0.0,16785408.0,0.0,feedforward,4.0,bsh,"(1, 1, 2048)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002924401313066,1482424320.0,1482424320.0,33554432.0,33554432.0,0.0,33570816.0,0.0,feedforward,8.0,bsh,"(1, 1, 2048)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0005559112876653,1549533184.0,1549533184.0,67108864.0,67108864.0,0.0,67141632.0,0.0,feedforward,16.0,bsh,"(1, 1, 2048)",1.0,0.0,0.0,0.0,,relu,,,,,,
5.338042974472046e-05,1587281920.0,1587281920.0,9437184.0,9437184.0,0.0,9440256.0,0.0,feedforward,1.0,bsh,"(1, 1, 3072)",1.0,0.0,0.0,0.0,,relu,,,,,,
9.598284959793092e-05,1662779392.0,1662779392.0,18874368.0,18874368.0,0.0,18880512.0,0.0,feedforward,2.0,bsh,"(1, 1, 3072)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002459947019815,1700528128.0,1700528128.0,37748736.0,37748736.0,0.0,37761024.0,0.0,feedforward,4.0,bsh,"(1, 1, 3072)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0003127314150333,1725693952.0,1725693952.0,75497472.0,75497472.0,0.0,75522048.0,0.0,feedforward,8.0,bsh,"(1, 1, 3072)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0005599912256002,1876688896.0,1876688896.0,150994944.0,150994944.0,0.0,151044096.0,0.0,feedforward,16.0,bsh,"(1, 1, 3072)",1.0,0.0,0.0,0.0,,relu,,,,,,
5.336366593837738e-05,1943797760.0,1943797760.0,16777216.0,16777216.0,0.0,16781312.0,0.0,feedforward,1.0,bsh,"(1, 1, 4096)",1.0,0.0,0.0,0.0,,relu,,,,,,
9.750165045261384e-05,2078015488.0,2078015488.0,33554432.0,33554432.0,0.0,33562624.0,0.0,feedforward,2.0,bsh,"(1, 1, 4096)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001765873283147,2145124352.0,2145124352.0,67108864.0,67108864.0,0.0,67125248.0,0.0,feedforward,4.0,bsh,"(1, 1, 4096)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002788569778203,2078015488.0,2078015488.0,134217728.0,134217728.0,0.0,134250496.0,0.0,feedforward,8.0,bsh,"(1, 1, 4096)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0005559507757425,2346450944.0,2346450944.0,268435456.0,268435456.0,0.0,268500992.0,0.0,feedforward,16.0,bsh,"(1, 1, 4096)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.743991255760193e-05,2346450944.0,2346450944.0,2.0,2.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 2, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.74087554216385e-05,2346450944.0,2346450944.0,4.0,4.0,0.0,4.0,0.0,feedforward,2.0,bsh,"(1, 2, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001282315701246,2346450944.0,2346450944.0,8.0,8.0,0.0,8.0,0.0,feedforward,4.0,bsh,"(1, 2, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002354934811592,1272709120.0,1272709120.0,16.0,16.0,0.0,16.0,0.0,feedforward,8.0,bsh,"(1, 2, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004433169960975,1272709120.0,1272709120.0,32.0,32.0,0.0,32.0,0.0,feedforward,16.0,bsh,"(1, 2, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.75356525182724e-05,1272709120.0,1272709120.0,8.0,8.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 2, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.74605369567871e-05,1272709120.0,1272709120.0,16.0,16.0,0.0,12.0,0.0,feedforward,2.0,bsh,"(1, 2, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001215104013681,1272709120.0,1272709120.0,32.0,32.0,0.0,24.0,0.0,feedforward,4.0,bsh,"(1, 2, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002431310713291,1272709120.0,1272709120.0,64.0,64.0,0.0,48.0,0.0,feedforward,8.0,bsh,"(1, 2, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004446424543857,1272709120.0,1272709120.0,128.0,128.0,0.0,96.0,0.0,feedforward,16.0,bsh,"(1, 2, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.724470734596252e-05,1272709120.0,1272709120.0,32.0,32.0,0.0,20.0,0.0,feedforward,1.0,bsh,"(1, 2, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.663277745246887e-05,1272709120.0,1272709120.0,64.0,64.0,0.0,40.0,0.0,feedforward,2.0,bsh,"(1, 2, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001278974115848,1272709120.0,1272709120.0,128.0,128.0,0.0,80.0,0.0,feedforward,4.0,bsh,"(1, 2, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002376802265644,1272709120.0,1272709120.0,256.0,256.0,0.0,160.0,0.0,feedforward,8.0,bsh,"(1, 2, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
