<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
7.0,0.0,5.0,125868773376.0,1.0,3538944.0,3217031168.0,192.0,224.0,0.005318033881485463,137127727104.0,3217031168.0,alexnet,21.0,61100840.0,0.0,,,3.0,11255414784.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,167825031168.0,1.0,4718592.0,3344957440.0,256.0,224.0,0.007005606032907963,182836969472.0,3344957440.0,alexnet,21.0,61100840.0,0.0,,,3.0,15007219712.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,251737546752.0,1.0,7077888.0,3584032768.0,384.0,224.0,0.01059310082346201,274255454208.0,3584032768.0,alexnet,21.0,61100840.0,0.0,,,3.0,22510829568.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,335650062336.0,1.0,9437184.0,3898605568.0,512.0,224.0,0.013694742508232594,365673938944.0,3898605568.0,alexnet,21.0,61100840.0,0.0,,,3.0,30014439424.0,3.0,0.0,2.0,0.0,,
26.0,0.0,26.0,818924576.0,1.0,170000.0,1235222528.0,1.0,224.0,0.0005437497049570084,819094576.0,1235222528.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,1637849152.0,1.0,340000.0,1239416832.0,2.0,224.0,0.0006373403593897823,1638189152.0,1239416832.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,3275698304.0,1.0,680000.0,1268776960.0,4.0,224.0,0.00057259202003479,3276378304.0,1268776960.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,6551396608.0,1.0,1360000.0,1283457024.0,8.0,224.0,0.0006589306518435477,6552756608.0,1283457024.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,13102793216.0,1.0,2720000.0,1319108608.0,16.0,224.0,0.0011926159262657164,13105513216.0,1319108608.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,26205586432.0,1.0,5440000.0,1367343104.0,32.0,224.0,0.0022300416603684425,26211026432.0,1367343104.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
