<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs
17.0,0.0,53.0,5529796608.0,53.0,1094013419520.0,,,1.0,196608000.0,3011510272.0,96.0,224.0,0.03301174845546484,1099749654528.0,3011510272.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,9830400.0,1.0,0.0
17.0,0.0,53.0,7373062144.0,53.0,1458684559360.0,,,1.0,262144000.0,3273654272.0,128.0,224.0,0.04016442280262709,1466332872704.0,3273654272.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,13107200.0,1.0,0.0
17.0,0.0,53.0,11059593216.0,53.0,2188026839040.0,,,1.0,393216000.0,3709861888.0,192.0,224.0,0.06053965240716934,2199499309056.0,3709861888.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,19660800.0,1.0,0.0
17.0,0.0,53.0,14746124288.0,53.0,2917369118720.0,,,1.0,524288000.0,4169138176.0,256.0,224.0,0.0806113451719284,2932665745408.0,4169138176.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,26214400.0,1.0,0.0
17.0,0.0,53.0,22119186432.0,53.0,4376053678080.0,,,1.0,786432000.0,4846518272.0,384.0,224.0,0.12051497120410205,4398998618112.0,4846518272.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,39321600.0,1.0,0.0
17.0,0.0,53.0,29492248576.0,53.0,5834738237440.0,,,1.0,1048576000.0,5551161344.0,512.0,224.0,0.1594487562775612,5865331490816.0,5551161344.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,52428800.0,1.0,0.0
35.0,0.0,52.0,21826560.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,1268776960.0,1.0,224.0,0.003722923807799816,336242432.0,1268776960.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,43653120.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,1277165568.0,2.0,224.0,0.0024285562336444854,672484864.0,1277165568.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,87306240.0,52.0,1252543488.0,1.0,0.0,1.0,5120000.0,1285554176.0,4.0,224.0,0.002686660550534725,1344969728.0,1285554176.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,174612480.0,52.0,2505086976.0,1.0,0.0,1.0,10240000.0,1300234240.0,8.0,224.0,0.0015637250617146492,2689939456.0,1300234240.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,349224960.0,52.0,5010173952.0,1.0,0.0,1.0,20480000.0,1325400064.0,16.0,224.0,0.002461550757288933,5379878912.0,1325400064.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,698449920.0,52.0,10020347904.0,1.0,0.0,1.0,40960000.0,1388314624.0,32.0,224.0,0.0026205174624919893,10759757824.0,1388314624.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,1396899840.0,52.0,20040695808.0,1.0,0.0,1.0,81920000.0,1470103552.0,64.0,224.0,0.005256619304418564,21519515648.0,1470103552.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,2095349760.0,52.0,30061043712.0,1.0,0.0,1.0,122880000.0,1579155456.0,96.0,224.0,0.008560220338404178,32279273472.0,1579155456.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,2793799680.0,52.0,40081391616.0,1.0,0.0,1.0,163840000.0,1669332992.0,128.0,224.0,0.009556592255830765,43039031296.0,1669332992.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,4190699520.0,52.0,60122087424.0,1.0,0.0,1.0,245760000.0,1843396608.0,192.0,224.0,0.014141982793807984,64558546944.0,1843396608.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,5587599360.0,52.0,80162783232.0,1.0,0.0,1.0,327680000.0,2015363072.0,256.0,224.0,0.01896066591143608,86078062592.0,2015363072.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,8381399040.0,52.0,120244174848.0,1.0,0.0,1.0,491520000.0,2357198848.0,384.0,224.0,0.027685169130563736,129117093888.0,2357198848.0,mnasnet,141.0,4383312.0,0.0,,,,
35.0,0.0,52.0,11175198720.0,52.0,160325566464.0,1.0,0.0,1.0,655360000.0,2705326080.0,512.0,224.0,0.036951007507741454,172156125184.0,2705326080.0,mnasnet,141.0,4383312.0,0.0,,,,
