<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
35.0,0.0,52.0,4791908352.0,1.0,0.0,1.0,20480000.0,,,,,1939865600.0,16.0,224.0,0.0012314147999859411,5239787520.0,1939865600.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,427399168.0,,
35.0,0.0,52.0,9583816704.0,1.0,0.0,1.0,40960000.0,,,,,2021654528.0,32.0,224.0,0.00161194680040353,10479575040.0,2021654528.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,854798336.0,,
35.0,0.0,52.0,19167633408.0,1.0,0.0,1.0,81920000.0,,,,,2139095040.0,64.0,224.0,0.002704400900256587,20959150080.0,2139095040.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,1709596672.0,,
35.0,0.0,52.0,28751450112.0,1.0,0.0,1.0,122880000.0,,,,,2285895680.0,96.0,224.0,0.003895286899933126,31438725120.0,2285895680.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,2564395008.0,,
35.0,0.0,52.0,38335266816.0,1.0,0.0,1.0,163840000.0,,,,,2413821952.0,128.0,224.0,0.005071952800062718,41918300160.0,2413821952.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,3419193344.0,,
35.0,0.0,52.0,57502900224.0,1.0,0.0,1.0,245760000.0,,,,,2661285888.0,192.0,224.0,0.007461404600326205,62877450240.0,2661285888.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,5128790016.0,,
35.0,0.0,52.0,76670533632.0,1.0,0.0,1.0,327680000.0,,,,,2908749824.0,256.0,224.0,0.009833185499883258,83836600320.0,2908749824.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,6838386688.0,,
35.0,0.0,52.0,115005800448.0,1.0,0.0,1.0,491520000.0,,,,,3403677696.0,384.0,224.0,0.014596401000017068,125754900480.0,3403677696.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,10257580032.0,,
35.0,0.0,52.0,153341067264.0,1.0,0.0,1.0,655360000.0,,,,,4011851776.0,512.0,224.0,0.019259269000031054,167673200640.0,4011851776.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,13676773376.0,,
17.0,0.0,53.0,4228431872.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,1965031424.0,1.0,224.0,0.001204257800418418,4288184320.0,1965031424.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,57602048.0,,
