accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript
0.0,relu,274.7578125,1.0,cpu,,64.0,0.0002259523025713861,0.0,274.7578125,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,128.0,0.00030298230121843516,0.0,274.7578125,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,256.0,0.0005687016004230827,0.0,274.7578125,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,16.0,0.00020261870231479405,0.0,274.7578125,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,32.0,0.00022901070187799632,0.0,274.7578125,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,64.0,0.000277648598421365,0.0,274.7578125,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,128.0,0.0003169907024130225,0.0,274.7578125,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,256.0,0.000555547297699377,0.0,274.7578125,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,16.0,0.00015588490059599281,0.0,274.7578125,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,32.0,0.00020485210116021334,0.0,274.7578125,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.828125,1.0,cpu,,64.0,0.0002577484992798418,0.0,274.828125,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.859375,1.0,cpu,,128.0,0.0004111292015295476,0.0,274.859375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.9375,1.0,cpu,,256.0,0.0008234625973273068,0.0,274.9375,mha,0.0,263168.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,16.0,0.00020944380084984005,0.0,275.22265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,32.0,0.0002235689025837928,0.0,275.22265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,64.0,0.0002580942993517965,0.0,275.22265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,128.0,0.000401391601189971,0.0,275.22265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,256.0,0.0007682786963414401,0.0,275.22265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,16.0,0.00021720639779232442,0.0,275.22265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,32.0,0.00021383140119723976,0.0,275.22265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,64.0,0.00025319840060546996,0.0,275.22265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,128.0,0.00039397490327246486,0.0,275.22265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,256.0,0.000773649598704651,0.0,275.22265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,16.0,0.000215968897100538,0.0,275.22265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,32.0,0.00023681489983573556,0.0,275.22265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,64.0,0.0002469192026183009,0.0,275.22265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,128.0,0.00037763710133731365,0.0,275.22265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,256.0,0.000744615902658552,0.0,275.22265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,16.0,0.0003137282037641853,0.0,275.22265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,32.0,0.0002722985984291881,0.0,275.22265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,64.0,0.00029996969969943167,0.0,275.22265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,128.0,0.00041071249870583415,0.0,275.22265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,256.0,0.0008102123974822462,0.0,275.22265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,275.22265625,1.0,cpu,,16.0,0.00019857700099237263,0.0,275.22265625,mha,0.0,1088.0,0.0,0.0
